NAME|X0203US|X0304US|X0506US|X0607US|X0708US|X0809US|X0910US|X1011US|X1112US|TOTAL
Nicklas Lidstrom|10.5|10|7.6|7.6|7.6|7.45|7.45|6.2|6.2|70.6
Chris Pronger|9.5|9.5|6.25|6.25|6.25|6.25|6.25|7.6|7.6|65.45
Vincent Lecavalier|2|2.625|6|7.166667|7.166667|7.166666|10|10|10|62.125
Jarome Iginla|5.5|7.5|7|7|7|7|7|7|7|62
Brad Richards|0.975|2.4|3.401|7.8|7.8|7.8|7.8|7.8|12|57.776
Joe Thornton|2.175|5.5|6.666|6.67|6.67|7.2|7.2|7.2|8|57.281
Marian Hossa|2.05|2.75|5|6|7|7.45|7.9|7.9|7.9|53.95
Zdeno Chara|1.75|2.4|3.724|7.5|7.5|7.5|7.5|7.5|8.5|53.874
Scott Gomez|0.9|1|2.2|5|10|8|8|8|7.5|50.6
Roberto Luongo|1.6|1.9|3.2|6|6.5|7|7.5|10|6.716|50.416
Patrik Elias|4.472249|4.722249|4.18|7.5|7.5|6|6|5|5|50.374498
Jaromir Jagr|11.483333|11|7.8|8.36|8.36|0|0|0|3.3|50.303333
Martin Brodeur|6.891103|6.891103|5.237238|5.2|5.2|5.2|5.2|5.2|5.2|50.219444
Daniel Briere|1.35|1.6|1.93|5|10|8|8|7|7|49.88
Dany Heatley|1.075|1.075|3.5|4.5|5.5|10|8|8|8|49.65
Ed Jovanovski|2.8|4.5|3.99|7|7|6.5|6|6|4|47.79
Nikolai Khabibulin|3.873439|4.434579|6.75|6.75|6.75|6.75|3.75|3.75|3.75|46.558018
Ilya Kovalchuk|1.13|1.13|6.5|5|5.5|7.5|7.5|6|6|46.26
Rob Blake|9.305158|9.326519|6.364111|6|6|5|3.5|0|0|45.495788
Marian Gaborik|1.075|0|2.679|5|6.5|7.5|7.5|7.5|7.5|45.254
Joe Sakic|9.856018|9.880939|6.664797|5.75|6.75|6|0|0|0|44.901754
Ryan Smyth|3.025|3.45|3.5|3.5|7.5|7.25|6.5|5.5|4.5|44.725
Rick Nash|1.185|1.185|3.5|4.5|5.5|6.5|7|7.5|7.5|44.37
Jason Spezza|1.13|0.565|1.1|4|5|8|8|8|8|43.795
Mats Sundin|9|9|6.84|7.6|5.5|5.6265|0|0|0|43.5665
Pavel Datsyuk|0.625|1.5|3.9|3.9|6.7|6.7|6.7|6.7|6.7|43.425
Kimmo Timonen|1.4|2|2.47|2.28|8|8|7|7|5|43.15
Sergei Gonchar|3.45|3.65|3.5|4.5|5.5|6|5.5|5.5|5.5|43.1
Patrick Marleau|1.8|2.35|4|4|4.5|6.3|6.3|6.9|6.9|43.05
Keith Tkachuk|11|10|7.6|3.8|3.5|4.5|2.15|0|0|42.55
Chris Drury|2.5|3.45|2.926|3.154|7.1|7.1|8.05|8|0|42.28
Daniel Alfredsson|4.55|5.05|4.662894|4.67651|4.69067|5.465397|7|0|4.5|40.595471
Wade Redden|3|4.5|3.724|6.5|6.5|8|8|0|0|40.224
Miikka Kiprusoff|0.8|0.88|2.9|3.5|3.6|8.5|7|7|6|40.18
Dan Boyle|0.85|2.3|2.75|3.625|3.625|6.666667|6.666667|6.666667|6.666667|39.816668
Roman Hamrlik|3.5|3.6|3.5|3.5|5.5|5.5|5.5|5.5|3.5|39.6
Marc Savard|1.3|2|2.28|5|5|5|5|7|7|39.58
Martin St.Louis|1|1.5|6.5|6|6|5|4|4|5.5|39.5
Alex Kovalev|4.6|6.6|4.5|4.5|4.5|4.5|5|5|0|39.2
Thomas Vanek|0|0|0.9424|0.9424|10|8|6.4|6.4|6.4|39.0848
Alexander Ovechkin|0|0|0.9842|0.9842|0.9842|9|9|9|9|38.9526
Jean-Sebastien Giguere|0.9|4.5|3.99|3.99|5.5|5.5|6|7|1.25|38.63
Sidney Crosby|0|0|0.85|0.85|0.85|9|9|9|9|38.55
