Team,20022003,20032004,20052006,20062007,20072008,20082009,20092010,20102011,20112012,20122013,20132014
DET,Dave Lewis,Dave Lewis,Mike Babcock,Mike Babcock,Mike Babcock,Mike Babcock,Mike Babcock,Mike Babcock,Mike Babcock,Mike Babcock,Mike Babcock
PHI,Ken Hitchcock,Ken Hitchcock,Ken Hitchcock,John Stevens,John Stevens,John Stevens,Peter Laviolette,Peter Laviolette,Peter Laviolette,Peter Laviolette,Craig Berube
ANA,Mike Babcock,Mike Babcock,Randy Carlyle,Randy Carlyle,Randy Carlyle,Randy Carlyle,Randy Carlyle,Randy Carlyle,Bruce Boudreau,Bruce Boudreau,Bruce Boudreau
PIT,Rick Kehoe,Ed Olczyk,Michel Therrien,Michel Therrien,Michel Therrien,Michel Therrien,Dan Bylsma,Dan Bylsma,Dan Bylsma,Dan Bylsma,Dan Bylsma
NYI,Peter Laviolette,Steve Stirling,Steve Stirling,"Brad Shaw, Ted Nolan","Al Arbour, Ted Nolan",Scott Gordon,Scott Gordon,Jack Capuano,Jack Capuano,Jack Capuano,Jack Capuano
TOR,Pat Quinn,Pat Quinn,Pat Quinn,Paul Maurice,Paul Maurice,Ron Wilson,Ron Wilson,Ron Wilson,Ron Wilson,Randy Carlyle,Randy Carlyle
TBL,John Tortorella,John Tortorella,John Tortorella,John Tortorella,John Tortorella,"Barry Melrose, Rick Tocchet",Rick Tocchet,Guy Boucher,Guy Boucher,Guy Boucher,Jon Cooper
NJD,Pat Burns,Pat Burns,"Larry Robinson, Lou Lamoriello","Claude Julien, Lou Lamoriello",Brent Sutter,Brent Sutter,Jacques Lemaire,"John MacLean, Jacques Lemaire",Peter DeBoer,Peter DeBoer,Peter DeBoer
EDM,Craig MacTavish,Craig MacTavish,Craig MacTavish,Craig MacTavish,Craig MacTavish,Craig MacTavish,Pat Quinn,Tom Renney,Tom Renney,Ralph Krueger,Dallas Eakins
CGY,Greg Gilbert,"Al MacNeil, Darryl Sutter",Darryl Sutter,Jim Playfair,Mike Keenan,Mike Keenan,Brent Sutter,Brent Sutter,Brent Sutter,Bob Hartley,Bob Hartley
STL,Joel Quenneville,Joel Quenneville,Mike Kitchen,Andy Murray,Andy Murray,Andy Murray,Andy Murray,Davis Payne,Ken Hitchcock,Ken Hitchcock,Ken Hitchcock
FLA,Mike Keenan,"Rick Dudley, John Torchetti",Jacques Martin,Jacques Martin,Jacques Martin,Peter DeBoer,Peter DeBoer,Peter DeBoer,Kevin Dineen,Kevin Dineen,Peter Horachek
BOS,"Robbie Ftorek, Mike O'Connell",Mike Sullivan,Mike Sullivan,Dave Lewis,Claude Julien,Claude Julien,Claude Julien,Claude Julien,Claude Julien,Claude Julien,Claude Julien
OTT,"Roger Neilson, Jacques Martin",Jacques Martin,Bryan Murray,Bryan Murray,John Paddock,"Bryan Murray, Craig Hartsburg",Cory Clouston,Cory Clouston,Paul MacLean,Paul MacLean,Paul MacLean
SJS,"Darryl Sutter, Ron Wilson",Ron Wilson,Ron Wilson,Ron Wilson,Ron Wilson,Todd McLellan,Todd McLellan,Todd McLellan,Todd McLellan,Todd McLellan,Todd McLellan
CAR,Paul Maurice,Peter Laviolette,Peter Laviolette,Peter Laviolette,Peter Laviolette,Paul Maurice,Paul Maurice,Paul Maurice,Kirk Muller,Kirk Muller,Kirk Muller
WPG,,,,,,,,,Claude Noel,Claude Noel,Claude Noel
BUF,Lindy Ruff,Lindy Ruff,Lindy Ruff,Lindy Ruff,Lindy Ruff,Lindy Ruff,Lindy Ruff,Lindy Ruff,Lindy Ruff,"Lindy Ruff, Ron Rolston",Ted Nolan
WSH,Bruce Cassidy,Glen Hanlon,Glen Hanlon,Glen Hanlon,Bruce Boudreau,Bruce Boudreau,Bruce Boudreau,Bruce Boudreau,Dale Hunter,,Adam Oates
CHI,Brian Sutter,Brian Sutter,Trent Yawney,Denis Savard,Denis Savard,Joel Quenneville,Joel Quenneville,Joel Quenneville,Joel Quenneville,Joel Quenneville,Joel Quenneville
CBJ,Dave King,"Doug MacLean, Gerard Gallant","Gerard Gallant, Gary Agnew",Ken Hitchcock,Ken Hitchcock,Ken Hitchcock,"Ken Hitchcock, Claude Noel",Scott Arniel,Scott Arniel,Todd Richards,Todd Richards
COL,Tony Granato,Tony Granato,Joel Quenneville,Joel Quenneville,Joel Quenneville,Tony Granato,Joe Sacco,Joe Sacco,Joe Sacco,Joe Sacco,Patrick Roy
DAL,Dave Tippett,Dave Tippett,Dave Tippett,Dave Tippett,Dave Tippett,Dave Tippett,Marc Crawford,Marc Crawford,Glen Gulutzan,Glen Gulutzan,Lindy Ruff
LAK,Andy Murray,Andy Murray,"Andy Murray, John Torchetti",Marc Crawford,Marc Crawford,Terry Murray,Terry Murray,"Terry Murray, John Stevens",Darryl Sutter,Darryl Sutter,Darryl Sutter
MTL,Michel Therrien,Claude Julien,"Claude Julien, Bob Gainey",Guy Carbonneau,Guy Carbonneau,"Guy Carbonneau, Bob Gainey",Jacques Martin,Jacques Martin,Randy Cunneyworth,Michel Therrien,Michel Therrien
PHX,Bob Francis,"Bob Francis, Rick Bowness",Wayne Gretzky,Wayne Gretzky,Wayne Gretzky,Wayne Gretzky,Dave Tippett,Dave Tippett,Dave Tippett,Dave Tippett,Dave Tippett
VAN,Marc Crawford,Marc Crawford,Marc Crawford,Alain Vigneault,Alain Vigneault,Alain Vigneault,Alain Vigneault,Alain Vigneault,Alain Vigneault,Alain Vigneault,John Tortorella
NSH,Barry Trotz,Barry Trotz,Barry Trotz,Barry Trotz,Barry Trotz,Barry Trotz,Barry Trotz,Barry Trotz,Barry Trotz,Barry Trotz,Barry Trotz
NYR,Bryan Trottier,Glen Sather,Tom Renney,Tom Renney,Tom Renney,Tom Renney,John Tortorella,John Tortorella,John Tortorella,John Tortorella,Alain Vigneault
MIN,Jacques Lemaire,Jacques Lemaire,Jacques Lemaire,Jacques Lemaire,Jacques Lemaire,Jacques Lemaire,Todd Richards,Todd Richards,Mike Yeo,Mike Yeo,Mike Yeo
ATL,Don Waddell,Bob Hartley,Bob Hartley,Bob Hartley,Don Waddell,John Anderson,John Anderson,Craig Ramsay,,,
