"player"|"team"|"weight"|"season"
"DAN_BYLSMA"|"ANA"|1|"20022003"
"KEITH_CARNEY"|"ANA"|1|"20022003"
"STANISLAV_CHISTOV"|"ANA"|1|"20022003"
"MARC_CHOUINARD"|"ANA"|1|"20022003"
"MATT_CULLEN"|"ANA"|1|"20022003"
"MARTIN_GERBER"|"ANA"|1|"20022003"
"JEAN-SEBASTIEN_GIGUERE"|"ANA"|1|"20022003"
"NICLAS_HAVELID"|"ANA"|1|"20022003"
"PAUL_KARIYA"|"ANA"|1|"20022003"
"PATRIC_KJELLBERG"|"ANA"|1|"20022003"
"JASON_KROG"|"ANA"|1|"20022003"
"MIKE_LECLERC"|"ANA"|1|"20022003"
"ANDY_MCDONALD"|"ANA"|1|"20022003"
"CHRIS_O'SULLIVAN"|"ANA"|1|"20022003"
"STEVE_RUCCHIN"|"ANA"|1|"20022003"
"RUSLAN_SALEI"|"ANA"|1|"20022003"
"KURT_SAUER"|"ANA"|1|"20022003"
"KEVIN_SAWYER"|"ANA"|1|"20022003"
"PETR_SYKORA"|"ANA"|1|"20022003"
"VITALY_VISHNEVSKI"|"ANA"|1|"20022003"
"FREDRIK_OLAUSSON"|"ANA"|1|"20022003"
"J-F_DAMPHOUSSE"|"ANA"|1|"20022003"
"ALEXEI_SMIRNOV"|"ANA"|1|"20022003"
"MIKE_BROWN"|"ANA"|1|"20022003"
"PAVEL_TRNKA"|"ANA"|1|"20022003"
"ADAM_OATES"|"ANA"|1|"20022003"
"JONATHAN_HEDSTROM"|"ANA"|1|"20022003"
"ROB_VALICEVIC"|"ANA"|1|"20022003"
"SAMUEL_PAHLSSON"|"ANA"|1|"20022003"
"CAM_SEVERSON"|"ANA"|1|"20022003"
"LUBOS_BARTECKO"|"ATL"|1|"20022003"
"JEFF_COWAN"|"ATL"|1|"20022003"
"DANY_HEATLEY"|"ATL"|1|"20022003"
"MILAN_HNILICKA"|"ATL"|1|"20022003"
"TONY_HRKAC"|"ATL"|1|"20022003"
"FRANTISEK_KABERLE"|"ATL"|1|"20022003"
"TOMI_KALLIO"|"ATL"|1|"20022003"
"ILYA_KOVALCHUK"|"ATL"|1|"20022003"
"VYACHESLAV_KOZLOV"|"ATL"|1|"20022003"
"FRANCIS_LESSARD"|"ATL"|1|"20022003"
"SHAWN_MCEACHERN"|"ATL"|1|"20022003"
"PASI_NURMINEN"|"ATL"|1|"20022003"
"PASCAL_RHEAUME"|"ATL"|1|"20022003"
"RICHARD_SMEHLIK"|"ATL"|1|"20022003"
"DAN_SNYDER"|"ATL"|1|"20022003"
"PATRIK_STEFAN"|"ATL"|1|"20022003"
"ANDY_SUTTON"|"ATL"|1|"20022003"
"CHRIS_TAMER"|"ATL"|1|"20022003"
"DANIEL_TJARNQVIST"|"ATL"|1|"20022003"
"YANNICK_TREMBLAY"|"ATL"|1|"20022003"
"YURI_BUTSAYEV"|"ATL"|1|"20022003"
"CHRIS_HERPERGER"|"ATL"|1|"20022003"
"JEFF_ODGERS"|"ATL"|1|"20022003"
"PER_SVARTVADET"|"ATL"|1|"20022003"
"MIKE_WEAVER"|"ATL"|1|"20022003"
"BYRON_DAFOE"|"ATL"|1|"20022003"
"MARK_HARTIGAN"|"ATL"|1|"20022003"
"KIRILL_SAFRONOV"|"ATL"|1|"20022003"
"JEAN-PIERRE_VIGIER"|"ATL"|1|"20022003"
"BRAD_TAPPER"|"ATL"|1|"20022003"
