name|position|plus.minus|Salary.0203|Salary.0304|Salary.0506|Salary.0607|Salary.0708|Salary.0809|Salary.0910|Salary.1011|Salary.1112|Salary.1213|Salary.1314|Total
AARON_DOWNEY|R|0|0.45|0.5|0.45|0.475|0.525|0|0|0|0|0|0|2.4
AARON_GAGNON|C|-7|0|0|0|0|0|0|0|0|0|0.525|0|0.525
AARON_GAVEY|C|1|0.5|0|0|0|0|0|0|0|0|0|0|0.5
AARON_JOHNSON|D|1|0|0|0|0.45|0.475|0.525|0.54|0|0|0.65|0|2.64
AARON_MILLER|D|-88|1.7|3.5|2.66|2.28|1.5|0|0|0|0|0|0|11.64
AARON_NESS|D|-1|0|0|0|0|0|0|0|0|0|0.787|0.875|1.662
AARON_PALUSHAJ|R|1|0|0|0|0|0|0|0|0|0|0.6|0|0.6
AARON_ROME|D|-34|0|0|0|0|0|0.5445|0.525|0.7|0.8|1.3|1.6|5.4695
AARON_VOLPATTI|L|-5|0|0|0|0|0|0|0|0|0.625|0.6|0|1.225
AARON_VOROS|L|-13|0|0|0|0|0.495|1.2|0.9|0.9|0|0|0|3.495
AARON_WARD|D|-174|1.5|0|1.52|2.75|2.75|2.5|2.5|0|0|0|0|13.52
ADAM_BURISH|R|-79|0|0|0|0|0.575|0.7|0.725|1|1.3|1.85|1.85|8
ADAM_CRACKNELL|R|4|0|0|0|0|0|0|0|0|0|0.55|0.6|1.15
ADAM_DEADMARSH|R|6|3|3|0|0|0|0|0|0|0|0|0|6
ADAM_FOOTE|D|-182|4.2|4.3|4.6|4.6|4.6|2.75|3.25|1|0|0|0|29.3
ADAM_GRAVES|L|-14|3.2|0|0|0|0|0|0|0|0|0|0|3.2
ADAM_HALL|R|-100|0.6|0.685|0.6|0.975|0.525|0.6|0.6|0.6|0.6|0.65|0.6|7.035
ADAM_HENRIQUE|C|13|0|0|0|0|0|0|0|0|0.6125|0.525|4|5.1375
ADAM_LARSSON|D|4|0|0|0|0|0|0|0|0|0|0.925|0.925|1.85
ADAM_MAIR|C|-21|0.4|0.483|0.45|0.675|0.75|0.75|0.775|0|0|0|0|4.283
ADAM_MCQUAID|D|34|0|0|0|0|0|0|0|0|0.6|1.4|1.5|3.5
ADAM_MUNRO|G|-21|0|0.2|0|0|0|0|0|0|0|0|0|0.2
ADAM_OATES|C|45|3.5|0|0|0|0|0|0|0|0|0|0|3.5
ADAM_PARDY|D|-20|0|0|0|0|0|0.5|0.7|0.7|2|2|0.6|6.5
ADRIAN_AUCOIN|D|-4|3.1|3.25|4|4|4|4|2.25|1.8|2.2|2|0|30.6
AKIM_ALIU|R|1|0|0|0|0|0|0|0|0|0|0.695|0|0.695
AL_MACINNIS|D|43|7.5|6|0|0|0|0|0|0|0|0|0|13.5
AL_MONTOYA|G|-12|0|0|0|0|0|0|0|0|0.601|0.601|0.601|1.803
ALAIN_NASREDDINE|D|-7|0|0|0|0.45|0|0|0|0|0|0|0|0.45
ALEC_MARTINEZ|D|27|0|0|0|0|0|0|0.6375|0|0.7375|0.738|1.1|3.213
ALES_HEMSKY|R|203|0|0|0.90174|3.5|3.6|3.6|4.4|4.5|5|4.5|5.5|35.50174
ALES_KOTALIK|R|137|0|0.9|0.8379|2|2.5|2.5|3|3|0|0|0|14.7379
ALEX_CHIASSON|R|4|0|0|0|0|0|0|0|0|0|0.8|0.9|1.7
ALEX_GALCHENYUK|C|15|0|0|0|0|0|0|0|0|0|0.925|0.925|1.85
ALEX_GOLIGOSKI|D|132|0|0|0|0|0|0.89526|1.25|1.5|2.75|4.2|4.6|15.19526
ALEX_HENRY|D|-13|0.55|0.605|0.57|0|0|0|0.5|0|0|0|0|2.225
ALEX_PETROVIC|D|-9|0|0|0|0|0|0|0|0|0|0.76|0.815|1.575
ALEX_PIETRANGELO|D|51|0|0|0|0|0|0|0.875|0.875|0.7875|0.787|6.5|9.8245
ALEX_PLANTE|D|-2|0|0|0|0|0|0|0|0|0|0.625|0|0.625
ALEX_STALOCK|G|4|0|0|0|0|0|0|0|0.785|0|0.688|0|1.473
ALEX_TANGUAY|L|329|0.9|1.5|3.23|5|5.375|5.375|2.5|1.7|3.5|3.5|3.5|36.08
ALEXANDER_BURMISTROV|C|-22|0|0|0|0|0|0|0|0|0.9|0.9|0|1.8
ALEXANDER_EDLER|D|116|0|0|0|0|0.55|0.55|3.25|3.25|3.25|3.25|3.25|17.35
ALEXANDER_KARPOVTSEV|D|-22|2.95|3.1|0.76|0|0|0|0|0|0|0|0|6.81
ALEXANDER_KHAVANOV|D|-3|0|1.3|1.25|0|0|0|0|0|0|0|0|2.55
ALEXANDER_KOROLYUK|L|6|0.9|1.2|0|0|0|0|0|0|0|0|0|2.1
ALEXANDER_MOGILNY|R|44|5.5|5.5|3.5|3.5|0|0|0|0|0|0|0|18
ALEXANDER_PEREZHOGIN|R|27|0|0|0.7106|0.627|0|0|0|0|0|0|0|1.3376
ALEXANDER_RADULOV|R|72|0|0|0|0.9842|0.68894|0|0|0|0|0|0|1.67314
ALEXANDER_SALAK|G|-3|0|0|0|0|0|0|0|0|0|0.6|0|0.6
ALEXANDER_SEMIN|L|341|0|0|0.9006|1.4|1.2|4.2|5|6|6.7|7|7|39.4006
ALEXANDER_SULZER|D|2|0|0|0|0|0|0|0.6|0.7|0.7|0.725|7.25|9.975
ALEXANDER_SVITOV|C|-14|0|0|0|0.8|0|0|0|0|0|0|0|0.8
ALEXANDER_URBOM|D|-2|0|0|0|0|0|0|0|0|0.615|0.525|0.525|1.665
ALEXANDRE_BOLDUC|C|-12|0|0|0|0|0|0|0|0|0.55|0.65|0|1.2
ALEXANDRE_DAIGLE|R|19|0.7|0.5|0.85|0|0|0|0|0|0|0|0|2.05
ALEXANDRE_GIROUX|L|2|0|0|0|0|0|0.475|0|0.5|0|0|0|0.975
ALEXANDRE_PICARD|L|-6|0|0|0|0.55|0|0.75|0.85|0|0.6|0|0|2.75
ALEXEI_EMELIN|D|-34|0|0|0|0|0|0|0|0|0|2|2|4
ALEXEI_PONIKAROVSKY|L|89|0|0.5225|0.7|0.725|1.575|2.24|2.5|3.2|1.5|1.8|0|14.7625
ALEXEI_SEMENOV|D|-14|0|0.7|0.76|0.798|0.65|0.65|0|0|0|0|0|3.558
ALEXEI_YASHIN|C|100|7.4|8.4|7.6|7.6|0|0|0|0|0|2.204|2.204|35.408
ALEXEI_ZHAMNOV|C|13|4|4.5|4.1|4.1|4.1|0|0|0|0|0|0|20.8
ALEXEI_ZHITNIK|D|-34|3.55|3.75|3.515|3.5|3.5|0|0|0|0|0|0|17.815
ALLEN_YORK|G|3|0|0|0|0|0|0|0|0|0|0.738|0|0.738
ALYN_MCCAULEY|C|-12|0.9517|1.2|1.083|2|0|0|0|0|0|0|0|5.2347
ANDERS_ERIKSSON|D|-11|1|0|0|0.6|1.5|0|0|0|0|0|0|3.1
ANDERS_LINDBACK|G|16|0|0|0|0|0|0|0|0|0.7375|1.4|2.2|4.3375
ANDERS_NILSSON|G|-8|0|0|0|0|0|0|0|0|0|0.9|0.9|1.8
ANDRE_BENOIT|D|7|0|0|0|0|0|0|0|0|0|0.65|0|0.65
ANDRE_DEVEAUX|C|-1|0|0|0|0|0|0.48|0|0|0|0.7|0|1.18
ANDRE_ROY|R|-7|0.7|0.825|1|1|1|0.55|0|0|0|0|0|5.075
ANDRE_SAVAGE|C|2|0.5|0|0|0|0|0|0|0|0|0|0|0.5
ANDREAS_DACKELL|R|-33|1.2|1.4|0|0|0|0|0|0|0|0|0|2.6
ANDREAS_KARLSSON|C|-13|0|0|0|0.5|0.5|0|0|0|0|0|0|1
ANDREAS_LILJA|D|-128|0.5|0.6|0.65|1|1|1.25|1.25|0|0.775|0.7|0|7.725
ANDREAS_NODL|R|-15|0|0|0|0|0|0.66|0|0.735|0.845|0.845|0|3.085
ANDREAS_THURESSON|R|-7|0|0|0|0|0|0|0.58|0|0|0|0|0.58
ANDREI_LOKTIONOV|C|7|0|0|0|0|0|0|0|0|0|0.575|7.25|7.825
ANDREI_MARKOV|D|219|0.7|1.3|1.5|2|5.75|5.75|5.75|5.75|5.75|5.75|5.75|45.75
ANDREI_NAZAROV|L|-7|0.6|0.675|0.625|0|0|0|0|0|0|0|0|1.9
ANDREI_NIKOLISHIN|C|-4|1.24025|1.75|0|0|0|0|0|0|0|0|0|2.99025
ANDREI_ZYUZIN|D|-32|1.05|1.2|1.25|1.325|1.475|0|0|0|0|0|0|6.3
ANDREJ_MESZAROS|D|19|0|0|0.9842|0.9842|0.9842|2.5|3.25|4|4|4.75|5.5|26.9526
ANDREJ_SEKERA|D|-17|0|0|0|0|0.658|0.659|0.75|1.25|4.25|3.25|1.75|12.567
ANDREW_ALBERTS|D|-113|0|0|0.8588|0.6613|1.1|1.4|0.8|1.3|1.225|1.225|0.6|9.1701
ANDREW_BODNARCHUK|D|-2|0|0|0|0|0|0|0|0|0|0.6|0|0.6
ANDREW_BRUNETTE|L|268|1.05|1.1|0.8|0.8|1.6|2.5|2.5|2|2|0|0|14.35
ANDREW_CASSELS|C|13|2.6|3.225|1.5|0|0|0|0|0|0|0|0|7.325
ANDREW_COGLIANO|C|-36|0|0|0|0|0.85|0.85|0.85|1|2.15|2.35|2.67|10.72
ANDREW_DESJARDINS|C|-11|0|0|0|0|0|0|0|0.5|0.54|0.64|0.75|2.43
ANDREW_EBBETT|C|7|0|0|0|0|0|0.475|0.5|0.6|0.525|0.6|0.55|3.25
ANDREW_FERENCE|D|-37|0.44|0.5|0.75|0.75|1.235|1.34|1.625|2.25|2.25|2.25|2.25|15.64
ANDREW_GORDON|R|-24|0|0|0|0|0|0|0|0|0|0.55|0.55|1.1
ANDREW_GREENE|D|1|0|0|0|0.85|0.6|0.6|0.725|0.75|2.5|0|3.25|9.275
ANDREW_HUTCHINSON|D|19|0|0|0|0.45|0|0.5|0.6|0|0|0|0|1.55
ANDREW_LADD|L|81|0|0|0|0.9842|0.9842|1.45|1.65|2.35|4|4.5|4.5|20.4184
ANDREW_MACDONALD|D|-14|0|0|0|0|0|0|0.5|0.5|0.55|0.575|0.575|2.7
ANDREW_MURRAY|C|-33|0|0|0|0|0.475|0.6|0.625|0.65|0.575|0.6|0|3.525
ANDREW_PETERS|L|-17|0|0|0.45|0.46|0.5|0.55|0.5|0.5|0|0|0|2.96
ANDREW_RAYCROFT|G|-44|0|0|1.35|1.8|2|0.8|0.5|0.7|0.6|0|0|7.75
ANDREW_SHAW|C|22|0|0|0|0|0|0|0|0|0|0.565|0.555|1.12
ANDY_BERENZWEIG|D|1|0.475|0|0|0|0|0|0|0|0|0|0|0.475
ANDY_DELMORE|D|21|0.9|0|0.45|0|0|0|0|0|0|0|0|1.35
ANDY_HILBERT|C|-32|0|0|0|0.45|0.65|0.7|0|0|0|0|0|1.8
ANDY_MCDONALD|C|233|0.575|0.65|0.627|3.333333|3.333333|3.333333|5.2|5.2|4.2|4.2|0|30.651999
ANDY_MIELE|C|-2|0|0|0|0|0|0|0|0|0.9|0.851|0|1.751
ANDY_SUTTON|D|-140|0.575|0.775|1.8|2|2.5|3|3.5|2|2.25|1.5|0|19.9
ANSON_CARTER|R|63|2.4|2.8|1|2.5|0|0|0|0|0|0|0|8.7
ANSSI_SALMELA|D|-11|0|0|0|0|0|0|6|0.625|0|0|0|6.625
ANTERO_NIITTYMAKI|G|-37|0|0|0.45|1|1.075|1.375|0.6|2|2|0|0|8.5
ANTHONY_PELUSO|R|1|0|0|0|0|0|0|0|0|0|0.605|0.55|1.155
ANTHONY_STEWART|R|-7|0|0|0.646|0|0.475|0.5225|0|0|0.8|1|0|3.4435
ANTOINE_ROUSSEL|L|1|0|0|0|0|0|0|0|0|0|0.6|0.625|1.225
ANTOINE_VERMETTE|C|-83|0|0|0.5643|0.925|1.075|2.525|3|3.75|3.75|3.75|3.75|23.0893
ANTON_BABCHUK|D|57|0|0|0|0.9006|0|1|0|1.4|2.5|2.5|0|8.3006
ANTON_KHUDOBIN|G|16|0|0|0|0|0|0|0|0|0.95|0.8|0|1.75
ANTON_LANDER|C|-25|0|0|0|0|0|0|0|0|0|0.9|0.9|1.8
