"player"|"team"|"weight"|"season"
"MIKE_BROWN"|"ANA"|1|"20022003"
"DAN_BYLSMA"|"ANA"|1|"20022003"
"KEITH_CARNEY"|"ANA"|1|"20022003"
"STANISLAV_CHISTOV"|"ANA"|1|"20022003"
"MARC_CHOUINARD"|"ANA"|1|"20022003"
"MATT_CULLEN"|"ANA"|0.565217391304348|"20022003"
"J-F_DAMPHOUSSE"|"ANA"|1|"20022003"
"MARTIN_GERBER"|"ANA"|1|"20022003"
"JEAN-SEBASTIEN_GIGUERE"|"ANA"|1|"20022003"
"NICLAS_HAVELID"|"ANA"|1|"20022003"
"JONATHAN_HEDSTROM"|"ANA"|1|"20022003"
"PAUL_KARIYA"|"ANA"|1|"20022003"
"PATRIC_KJELLBERG"|"ANA"|1|"20022003"
"JASON_KROG"|"ANA"|1|"20022003"
"MIKE_LECLERC"|"ANA"|1|"20022003"
"ANDY_MCDONALD"|"ANA"|1|"20022003"
"ROB_NIEDERMAYER"|"ANA"|0.4125|"20022003"
"ADAM_OATES"|"ANA"|1|"20022003"
"FREDRIK_OLAUSSON"|"ANA"|1|"20022003"
"CHRIS_O'SULLIVAN"|"ANA"|1|"20022003"
"SANDIS_OZOLINSH"|"ANA"|0.565217391304348|"20022003"
"SAMUEL_PAHLSSON"|"ANA"|1|"20022003"
"STEVE_RUCCHIN"|"ANA"|1|"20022003"
"RUSLAN_SALEI"|"ANA"|1|"20022003"
"KURT_SAUER"|"ANA"|1|"20022003"
"KEVIN_SAWYER"|"ANA"|1|"20022003"
"CAM_SEVERSON"|"ANA"|1|"20022003"
"ALEXEI_SMIRNOV"|"ANA"|1|"20022003"
"PETR_SYKORA"|"ANA"|1|"20022003"
"STEVE_THOMAS"|"ANA"|0.347368421052632|"20022003"
"PAVEL_TRNKA"|"ANA"|0.5|"20022003"
"ROB_VALICEVIC"|"ANA"|1|"20022003"
"VITALY_VISHNEVSKI"|"ANA"|1|"20022003"
"LANCE_WARD"|"ANA"|0.5|"20022003"
"LUBOS_BARTECKO"|"ATL"|1|"20022003"
"ZDENEK_BLATNY"|"ATL"|1|"20022003"
"YURI_BUTSAYEV"|"ATL"|1|"20022003"
"FREDERIC_CASSIVI"|"ATL"|1|"20022003"
"JEFF_COWAN"|"ATL"|1|"20022003"
"BYRON_DAFOE"|"ATL"|1|"20022003"
"JOE_DIPENTA"|"ATL"|1|"20022003"
"GARNET_EXELBY"|"ATL"|1|"20022003"
"JEFF_FARKAS"|"ATL"|1|"20022003"
"KURTIS_FOSTER"|"ATL"|1|"20022003"
"SIMON_GAMACHE"|"ATL"|1|"20022003"
"MARK_HARTIGAN"|"ATL"|1|"20022003"
"DANY_HEATLEY"|"ATL"|1|"20022003"
"CHRIS_HERPERGER"|"ATL"|1|"20022003"
"MILAN_HNILICKA"|"ATL"|1|"20022003"
"TONY_HRKAC"|"ATL"|1|"20022003"
"FRANTISEK_KABERLE"|"ATL"|1|"20022003"
"TOMI_KALLIO"|"ATL"|0.0526315789473684|"20022003"
"ILYA_KOVALCHUK"|"ATL"|1|"20022003"
"VYACHESLAV_KOZLOV"|"ATL"|1|"20022003"
"UWE_KRUPP"|"ATL"|1|"20022003"
"FRANCIS_LESSARD"|"ATL"|1|"20022003"
"SHAWN_MCEACHERN"|"ATL"|1|"20022003"
"PASI_NURMINEN"|"ATL"|1|"20022003"
"JEFF_ODGERS"|"ATL"|1|"20022003"
"KAMIL_PIROS"|"ATL"|1|"20022003"
"PASCAL_RHEAUME"|"ATL"|0.521276595744681|"20022003"
"KIRILL_SAFRONOV"|"ATL"|1|"20022003"
"MARC_SAVARD"|"ATL"|0.966101694915254|"20022003"
"BENJAMIN_SIMON"|"ATL"|1|"20022003"
"RICHARD_SMEHLIK"|"ATL"|0.673076923076923|"20022003"
"DAN_SNYDER"|"ATL"|1|"20022003"
"PATRIK_STEFAN"|"ATL"|1|"20022003"
"ANDY_SUTTON"|"ATL"|1|"20022003"
"PER_SVARTVADET"|"ATL"|1|"20022003"
"CHRIS_TAMER"|"ATL"|1|"20022003"
"BRAD_TAPPER"|"ATL"|1|"20022003"
"DANIEL_TJARNQVIST"|"ATL"|1|"20022003"
"YANNICK_TREMBLAY"|"ATL"|1|"20022003"
"JEAN-PIERRE_VIGIER"|"ATL"|1|"20022003"
"MIKE_WEAVER"|"ATL"|1|"20022003"
"P.J._AXELSSON"|"BOS"|1|"20022003"
"BRYAN_BERARD"|"BOS"|1|"20022003"
"NICK_BOYNTON"|"BOS"|1|"20022003"
"RICHARD_BRENNAN"|"BOS"|1|"20022003"
"SEAN_BROWN"|"BOS"|1|"20022003"
"HAL_GILL"|"BOS"|1|"20022003"
"JONATHAN_GIRARD"|"BOS"|1|"20022003"
"LEE_GOREN"|"BOS"|1|"20022003"
"JOHN_GRAHAME"|"BOS"|0.536585365853659|"20022003"
"MICHAL_GROSEK"|"BOS"|1|"20022003"
"JEFF_HACKETT"|"BOS"|0.525|"20022003"
"MATT_HERR"|"BOS"|1|"20022003"
"MATTHEW_HERR"|"BOS"|1|"20022003"
"ANDY_HILBERT"|"BOS"|1|"20022003"
"IVAN_HUML"|"BOS"|1|"20022003"
"MIKE_KNUBLE"|"BOS"|1|"20022003"
"JARNO_KULTANEN"|"BOS"|1|"20022003"
"ZDENEK_KUTLAK"|"BOS"|1|"20022003"
"MARTIN_LAPOINTE"|"BOS"|1|"20022003"
"DANIEL_MCGILLIS"|"BOS"|0.223880597014925|"20022003"
"MARTY_MCINNIS"|"BOS"|1|"20022003"
"IAN_MORAN"|"BOS"|0.175675675675676|"20022003"
"SHAONE_MORRISONN"|"BOS"|1|"20022003"
"GLEN_MURRAY"|"BOS"|1|"20022003"
"BRANTT_MYHRES"|"BOS"|1|"20022003"
"SEAN_O'DONNELL"|"BOS"|1|"20022003"
"KRZYSZTOF_OLIWA"|"BOS"|0.914285714285714|"20022003"
"ANDREW_RAYCROFT"|"BOS"|1|"20022003"
"BRIAN_ROLSTON"|"BOS"|1|"20022003"
"SERGEI_SAMSONOV"|"BOS"|1|"20022003"
"MARTIN_SAMUELSSON"|"BOS"|1|"20022003"
"STEVE_SHIELDS"|"BOS"|1|"20022003"
"P.J._STOCK"|"BOS"|1|"20022003"
"JOZEF_STUMPEL"|"BOS"|1|"20022003"
"DON_SWEENEY"|"BOS"|1|"20022003"
"TIM_THOMAS"|"BOS"|1|"20022003"
"JOE_THORNTON"|"BOS"|1|"20022003"
"KRIS_VERNARSKY"|"BOS"|1|"20022003"
"ROB_ZAMUNER"|"BOS"|1|"20022003"
"MAXIM_AFINOGENOV"|"BUF"|1|"20022003"
"STU_BARNES"|"BUF"|0.705882352941177|"20022003"
"MILAN_BARTOVIC"|"BUF"|1|"20022003"
"MARTIN_BIRON"|"BUF"|1|"20022003"
"JASON_BOTTERILL"|"BUF"|1|"20022003"
"ERIC_BOULTON"|"BUF"|1|"20022003"
"DANIEL_BRIERE"|"BUF"|0.194444444444444|"20022003"
"CURTIS_BROWN"|"BUF"|1|"20022003"
"BRIAN_CAMPBELL"|"BUF"|1|"20022003"
"TIM_CONNOLLY"|"BUF"|1|"20022003"
"JEAN-PIERRE_DUMONT"|"BUF"|1|"20022003"
"RORY_FITZPATRICK"|"BUF"|1|"20022003"
"PAUL_GAUSTAD"|"BUF"|1|"20022003"
"CHRIS_GRATTON"|"BUF"|0.816901408450704|"20022003"
"DENIS_HAMEL"|"BUF"|1|"20022003"
"JOCHEN_HECHT"|"BUF"|1|"20022003"
"RADOSLAV_HECL"|"BUF"|1|"20022003"
"DOUG_HOUDA"|"BUF"|1|"20022003"
"DOUG_JANIK"|"BUF"|1|"20022003"
"DMITRI_KALININ"|"BUF"|1|"20022003"
"ALES_KOTALIK"|"BUF"|1|"20022003"
"JAROSLAV_KRISTEK"|"BUF"|1|"20022003"
"ADAM_MAIR"|"BUF"|1|"20022003"
"JAY_MCKEE"|"BUF"|1|"20022003"
"SEAN_MCMORROW"|"BUF"|1|"20022003"
"RYAN_MILLER"|"BUF"|1|"20022003"
"NORMAN_MILLEY"|"BUF"|1|"20022003"
"MIKA_NORONEN"|"BUF"|1|"20022003"
"JAMES_PATRICK"|"BUF"|1|"20022003"
"TAYLOR_PYATT"|"BUF"|1|"20022003"
"ROB_RAY"|"BUF"|0.911764705882353|"20022003"
"MIROSLAV_SATAN"|"BUF"|1|"20022003"
"HENRIK_TALLINDER"|"BUF"|1|"20022003"
"CHRIS_TAYLOR"|"BUF"|1|"20022003"
"VACLAV_VARADA"|"BUF"|0.5625|"20022003"
"RHETT_WARRENER"|"BUF"|1|"20022003"
"JASON_WOOLLEY"|"BUF"|0.0833333333333333|"20022003"
"ALEXEI_ZHITNIK"|"BUF"|1|"20022003"
"CRAIG_ADAMS"|"CAR"|1|"20022003"
"KEVYN_ADAMS"|"CAR"|1|"20022003"
"BATES_BATTAGLIA"|"CAR"|0.753086419753086|"20022003"
"RYAN_BAYDA"|"CAR"|1|"20022003"
"JESSE_BOULERICE"|"CAR"|1|"20022003"
"PAVEL_BRENDL"|"CAR"|0.19047619047619|"20022003"
"ROD_BRIND'AMOUR"|"CAR"|1|"20022003"
"ERIK_COLE"|"CAR"|1|"20022003"
"JEFF_DANIELS"|"CAR"|1|"20022003"
"BRAD_DEFAUW"|"CAR"|1|"20022003"
"PATRICK_DESROCHERS"|"CAR"|0.285714285714286|"20022003"
"HAROLD_DRUKEN"|"CAR"|0.684210526315789|"20022003"
"RON_FRANCIS"|"CAR"|1|"20022003"
"STEVEN_HALKO"|"CAR"|1|"20022003"
"STEVENN_HALKO"|"CAR"|1|"20022003"
"BRET_HEDICAN"|"CAR"|1|"20022003"
"JEFF_HEEREMA"|"CAR"|1|"20022003"
"SEAN_HILL"|"CAR"|1|"20022003"
"JAN_HLAVAC"|"CAR"|0.962962962962963|"20022003"
"ARTURS_IRBE"|"CAR"|1|"20022003"
"SAMI_KAPANEN"|"CAR"|0.459459459459459|"20022003"
"TOMAS_KURKA"|"CAR"|1|"20022003"
"DARREN_LANGDON"|"CAR"|0.0444444444444444|"20022003"
"CRAIG_MACDONALD"|"CAR"|1|"20022003"
"TOMAS_MALEC"|"CAR"|1|"20022003"
"MAREK_MALIK"|"CAR"|0.0235294117647059|"20022003"
"JEFF_O'NEILL"|"CAR"|1|"20022003"
"BRUNO_ST. JACQUES"|"CAR"|0.75|"20022003"
"DAMIAN_SURMA"|"CAR"|1|"20022003"
"JAROSLAV_SVOBODA"|"CAR"|1|"20022003"
"DAVID_TANABE"|"CAR"|1|"20022003"
"JOSEF_VASICEK"|"CAR"|1|"20022003"
"RADIM_VRBATA"|"CAR"|0.149253731343284|"20022003"
"NICLAS_WALLIN"|"CAR"|1|"20022003"
"AARON_WARD"|"CAR"|1|"20022003"
"MIKE_WATT"|"CAR"|1|"20022003"
"KEVIN_WEEKES"|"CAR"|1|"20022003"
"GLEN_WESLEY"|"CAR"|0.826086956521739|"20022003"
"TOMMY_WESTLUND"|"CAR"|1|"20022003"
"MICHAEL_ZIGOMANIS"|"CAR"|1|"20022003"
"JAMIE_ALLISON"|"CBJ"|1|"20022003"
"BLAKE_BELLEFEUILLE"|"CBJ"|1|"20022003"
"ANDREW_CASSELS"|"CBJ"|1|"20022003"
"MATHIEU_DARCHE"|"CBJ"|1|"20022003"
"MATT_DAVIDSON"|"CBJ"|1|"20022003"
"MARC_DENIS"|"CBJ"|1|"20022003"
"KEVIN_DINEEN"|"CBJ"|1|"20022003"
"J-LUC_GRAND-PIERRE"|"CBJ"|1|"20022003"
"HANNES_HYVONEN"|"CBJ"|1|"20022003"
"TOMI_KALLIO"|"CBJ"|0.631578947368421|"20022003"
"ROSTISLAV_KLESLA"|"CBJ"|1|"20022003"
"ESPEN_KNUTSEN"|"CBJ"|1|"20022003"
"JEAN_LABBE"|"CBJ"|1|"20022003"
"SCOTT_LACHANCE"|"CBJ"|1|"20022003"
"DAVID_LING"|"CBJ"|1|"20022003"
"PAUL_MANNING"|"CBJ"|1|"20022003"
"GRANT_MARSHALL"|"CBJ"|0.630434782608696|"20022003"
"KENT_MCDONELL"|"CBJ"|1|"20022003"
"RICK_NASH"|"CBJ"|1|"20022003"
"ANDREJ_NEDOROST"|"CBJ"|1|"20022003"
"LASSE_PIRJETA"|"CBJ"|1|"20022003"
"SEAN_PRONGER"|"CBJ"|1|"20022003"
