who,last_active,mean_effect
PETER_FORSBERG,20102011,0.788490525134634
ONDREJ_PALAT,20132014,0.496661192497916
TYLER_TOFFOLI,20132014,0.457171306861064
BRAD_MARCHAND,20132014,0.431854820327453
SIDNEY_CROSBY,20132014,0.394601520592176
MARTIN_GELINAS,20072008,0.384371381591584
JOE_THORNTON,20132014,0.366357958127226
PAVEL_DATSYUK,20132014,0.351596005098743
JONATHAN_TOEWS,20132014,0.349988869772698
MARIAN_HOSSA,20132014,0.333876255631373
MARIAN_GABORIK,20132014,0.328918722440312
ALEXANDER_SEMIN,20132014,0.315662608740209
DANIEL_ALFREDSSON,20132014,0.308303331525906
ERIC_FEHR,20132014,0.303391127087533
LOGAN_COUTURE,20132014,0.298492636119403
ALEX_OVECHKIN,20132014,0.284282113757816
BENOIT_POULIOT,20132014,0.284017644426409
HENRIK_SEDIN,20132014,0.280337179763663
PATRIC_HORNQVIST,20132014,0.27714216813096
TEEMU_SELANNE,20132014,0.266577780708679
MARTIN_HAVLAT,20122013,0.26475349414252
PATRICK_ROY,20022003,0.259843624230225
ZIGMUND_PALFFY,20052006,0.259474906996799
RYAN_GETZLAF,20132014,0.257281850450421
RADIM_VRBATA,20132014,0.254059806869815
GUSTAV_NYQUIST,20132014,0.252998881309712
ZACH_PARISE,20132014,0.246516606707604
LADISLAV_NAGY,20072008,0.246266534217993
ROBERT_LANG,20092010,0.240406833039141
DAVID_PERRON,20132014,0.239832012684574
NATHAN_HORTON,20132014,0.234989335073196
MIKKO_KOIVU,20132014,0.233199921247283
JOHAN_FRANZEN,20132014,0.229768343194472
ANDREI_MARKOV,20132014,0.228006845322308
GABRIEL_LANDESKOG,20132014,0.223857494857733
JOE_PAVELSKI,20132014,0.221660000138561
DEREK_MACKENZIE,20132014,0.220091800664553
JASON_ARNOTT,20112012,0.21934178661207
ALEXANDER_RADULOV,20112012,0.218471869850529
LUBOMIR_VISNOVSKY,20132014,0.217801452638319
CHRIS_PRONGER,20112012,0.216804746994147
ALEX_TANGUAY,20132014,0.216252438058923
LOUI_ERIKSSON,20132014,0.216174848977124
DANIEL_SEDIN,20132014,0.212754862984266
STEVE_DOWNIE,20132014,0.212263781162343
RYAN_NUGENT-HOPKINS,20132014,0.211597903186414
HENRIK_ZETTERBERG,20132014,0.21060929326001
MATT_MOULSON,20132014,0.210292102500738
VINCENT_LECAVALIER,20132014,0.208781693507541
JAROMIR_JAGR,20132014,0.208583560510447
PIERRE-MARC_BOUCHARD,20132014,0.206898949481742
ANZE_KOPITAR,20132014,0.206131947992676
KYLE_WELLWOOD,20122013,0.205732930484
JUSTIN_WILLIAMS,20132014,0.204109936388613
PATRIK_ELIAS,20132014,0.200163625170032
T.J._OSHIE,20132014,0.199047379418819
NICKLAS_LIDSTROM,20112012,0.198640202290132
DOMINIK_HASEK,20072008,0.191891972123669
DUSTIN_PENNER,20132014,0.191155582419283
BOBBY_RYAN,20132014,0.190194502871442
BRANDON_SAAD,20132014,0.188445734185408
MILAN_HEJDUK,20122013,0.187340643173541
ALEX_BURROWS,20132014,0.184488072521846
STEVEN_STAMKOS,20132014,0.183642888607459
MAREK_MALIK,20082009,0.181306683204468
THOMAS_VANEK,20132014,0.180105927527536
ADAM_HENRIQUE,20132014,0.179520391428599
ALEXEI_PONIKAROVSKY,20122013,0.178638360501815
STEVE_THOMAS,20032004,0.178440406863645
RICK_NASH,20132014,0.17829877093905
FRANS_NIELSEN,20132014,0.177913416991784
ZDENO_CHARA,20132014,0.177653251776495
JADEN_SCHWARTZ,20132014,0.177175167452004
CHRIS_KUNITZ,20132014,0.176493838781855
JAKUB_VORACEK,20132014,0.175415807303222
EVGENI_MALKIN,20132014,0.175072938494397
ALEX_GOLIGOSKI,20132014,0.174000886730487
JIRI_HUDLER,20132014,0.173783170412942
NAZEM_KADRI,20132014,0.170574316342515
TYLER_KENNEDY,20132014,0.168953795325205
JOEL_WARD,20132014,0.168003391845855
PETR_CAJANEK,20062007,0.167971021285666
DAYMOND_LANGKOW,20112012,0.167267281197356
PETER_SCHAEFER,20102011,0.16664864897758
CAM_ATKINSON,20132014,0.165841019419689
KIMMO_TIMONEN,20132014,0.165595695407219
VLADIMIR_TARASENKO,20132014,0.164504888058246
CHRIS_SIMON,20072008,0.164128893941574
