who,last_active,TPq10,TPmed,TPq90
PETER_FORSBERG,20102011,1,1,3
ONDREJ_PALAT,20132014,2,8,157.1
TYLER_TOFFOLI,20132014,2,13,279
BRAD_MARCHAND,20132014,4,14,97
SIDNEY_CROSBY,20132014,8,22,64
MARTIN_GELINAS,20072008,6,24,123
JOE_THORNTON,20132014,11,29,78
PAVEL_DATSYUK,20132014,12,34,99
JONATHAN_TOEWS,20132014,11,35,119
MARIAN_HOSSA,20132014,16,42,109
MARIAN_GABORIK,20132014,16,44,124
ALEXANDER_SEMIN,20132014,17,51,152
DANIEL_ALFREDSSON,20132014,20,56,147
ERIC_FEHR,20132014,11,59,307
LOGAN_COUTURE,20132014,12,62,303
ALEX_OVECHKIN,20132014,23,72,211.1
BENOIT_POULIOT,20132014,15,73,326
HENRIK_SEDIN,20132014,15.9000000000001,74,349.1
PATRIC_HORNQVIST,20132014,16,78.5,352
TEEMU_SELANNE,20132014,28,88,249.1
MARTIN_HAVLAT,20122013,29,88,262
RYAN_GETZLAF,20132014,24,95,380
RADIM_VRBATA,20132014,31,101,304
ZACH_PARISE,20132014,32,107,345
ZIGMUND_PALFFY,20052006,9,107,735.1
PATRICK_ROY,20022003,7,107.5,1004.3
LADISLAV_NAGY,20072008,21,110,517.1
DAVID_PERRON,20132014,27,115,453
ROBERT_LANG,20092010,32,116,372
GUSTAV_NYQUIST,20132014,8,121,932
NATHAN_HORTON,20132014,39,123,360
MIKKO_KOIVU,20132014,37,125,381
ANDREI_MARKOV,20132014,47,130,355
JOHAN_FRANZEN,20132014,40,130,382.1
JOE_PAVELSKI,20132014,43,139.5,422.1
LUBOMIR_VISNOVSKY,20132014,50,145,400
JASON_ARNOTT,20112012,46,145,404
GABRIEL_LANDESKOG,20132014,21,145,723.1
ALEX_TANGUAY,20132014,54,148,387
CHRIS_PRONGER,20112012,54,148,388
LOUI_ERIKSSON,20132014,46,149,438
HENRIK_ZETTERBERG,20132014,60,157,387
DANIEL_SEDIN,20132014,31,157.5,675
STEVE_DOWNIE,20132014,35,158,603.1
VINCENT_LECAVALIER,20132014,55,159,446
ALEXANDER_RADULOV,20112012,20,159,811.1
DEREK_MACKENZIE,20132014,17,159,873
MATT_MOULSON,20132014,34,160,659.1
JAROMIR_JAGR,20132014,53,161,453
PIERRE-MARC_BOUCHARD,20132014,46,165,522
ANZE_KOPITAR,20132014,49,166,511
KYLE_WELLWOOD,20122013,43,168,579
JUSTIN_WILLIAMS,20132014,59,170,450
RYAN_NUGENT-HOPKINS,20132014,20,171,909
PATRIK_ELIAS,20132014,57,179,505
NICKLAS_LIDSTROM,20112012,65,180,453
T.J._OSHIE,20132014,41,181,690.1
DUSTIN_PENNER,20132014,59,193,573
BOBBY_RYAN,20132014,54.9000000000001,196,633
DOMINIK_HASEK,20072008,46,197,682
MILAN_HEJDUK,20122013,68.9000000000001,201,543
ALEX_BURROWS,20132014,63,208,623
STEVEN_STAMKOS,20132014,57,213,682
THOMAS_VANEK,20132014,76,215,572
MAREK_MALIK,20082009,55.9000000000001,218.5,724
ALEXEI_PONIKAROVSKY,20122013,72,220,613.1
RICK_NASH,20132014,85,222,538
ZDENO_CHARA,20132014,91,223,508
CHRIS_KUNITZ,20132014,80,225,592
BRANDON_SAAD,20132014,26,226,1044
EVGENI_MALKIN,20132014,79,227,603
FRANS_NIELSEN,20132014,57,227,759
JAKUB_VORACEK,20132014,63,231,728
JIRI_HUDLER,20132014,65,231,744.1
ALEX_GOLIGOSKI,20132014,69,232,704
ADAM_HENRIQUE,20132014,34,237,1046
DAYMOND_LANGKOW,20112012,77,246.5,720.1
KIMMO_TIMONEN,20132014,103,250,575
JOEL_WARD,20132014,62,250.5,859
TYLER_KENNEDY,20132014,60,251,841.1
ALEX_STEEN,20132014,86,258,698
PETER_SCHAEFER,20102011,61,258,873
TEDDY_PURCELL,20132014,72,259,843
PETR_CAJANEK,20062007,48,260,978
STEVE_THOMAS,20032004,24,264.5,1233.1
DAVID_KREJCI,20132014,72,265,818
JADEN_SCHWARTZ,20132014,25,267.5,1232
NAZEM_KADRI,20132014,39,269.5,1087.1
JUSSI_JOKINEN,20132014,98,272,728.1
HENRIK_LUNDQVIST,20132014,104,273,689
TYLER_SEGUIN,20132014,51.9000000000001,275,1002.1
CHRIS_SIMON,20072008,44,276,1113.1
JEFF_CARTER,20132014,104,283,683
MARCO_STURM,20112012,77,283,860
JONATHAN_BERNIER,20132014,58,285,975.1
BRENDAN_MORRISON,20112012,94,290,811
CLAUDE_GIROUX,20132014,84,290,859.200000000001
MARC_SAVARD,20102011,88,296,836
CAM_ATKINSON,20132014,29,299,1270.1
SHANE_DOAN,20132014,119,301,720
JORDAN_EBERLE,20132014,56,301,1118
ALEX_FROLOV,20102011,87,306,887
NATHAN_GERBE,20132014,51,307,1122.1
JAROME_IGINLA,20132014,123,311,727
ERIK_GUSTAFSSON,20132014,32,319,1301
PATRICE_BERGERON,20132014,102,320,888
MILAN_LUCIC,20132014,80,321,1005.3
VLADIMIR_TARASENKO,20132014,25,323,1362
BRYAN_LITTLE,20132014,93,324,944
JOCHEN_HECHT,20122013,115,325,850.1
STEPHEN_WEISS,20132014,112,325,852
SEAN_BURKE,20062007,56,325,1123.1
KEITH_TKACHUK,20092010,96,327,931
TOBIAS_ENSTROM,20132014,107,331.5,903
DAVID_BACKES,20132014,98,332,932
SCOTT_HARTNELL,20132014,130,335.5,804.1
PATRICK_SHARP,20132014,128,344,832.1
MIKE_RIBEIRO,20132014,129,345,829.1
TAYLOR_HALL,20132014,67,345,1154.2
CURTIS_GLENCROSS,20132014,99,346,1022
ROB_KLINKHAMMER,20132014,23,346,1437.2
SIMON_GAGNE,20122013,121,348,907.1
DUSTIN_BROWN,20132014,108.9,349,940.1
BRIAN_RAFALSKI,20102011,118,352.5,884
MICHAEL_RYDER,20132014,132,353,887.1
KEITH_YANDLE,20132014,114,355,953
NICKLAS_BACKSTROM,20132014,103,358,998
ERIK_COLE,20132014,138,360,848
NOLAN_BAUMGARTNER,20092010,39,360,1342.1
BRAD_BOYES,20132014,131,362,883
FERNANDO_PISANI,20102011,101,362,1044
WOJTEK_WOLSKI,20122013,112,364,980
SIMON_DESPRES,20132014,28,364,1458
MATT_CULLEN,20132014,141,366,879
RYAN_MCDONAGH,20132014,82,366,1150
STEVEN_REINPRECHT,20102011,114,371,1026
BRIAN_GIONTA,20132014,127,376,982.1
ANDREI_KOSTITSYN,20112012,103,376,1064.1
P.K._SUBBAN,20132014,88,376,1130.1
ANDREW_LADD,20132014,119,377,1000.1
TRENT_HUNTER,20112012,103,378,1060
COLIN_WILSON,20132014,76,382,1225.1
MARK_STREIT,20132014,135,384,939
MIKAEL_SAMUELSSON,20132014,135,388,971.1
JANNIK_HANSEN,20132014,97,388,1139
DAN_BOYLE,20132014,146,390,960.1
PHIL_KESSEL,20132014,126,393,1016.1
DAVID_DESHARNAIS,20132014,68,395,1264.1
NIK_ANTROPOV,20122013,147,396,963.1
DEREK_STEPAN,20132014,93,397,1211.1
BRIAN_CAMPBELL,20132014,174,398,864.1
ILYA_KOVALCHUK,20122013,170,405,888
TOMAS_TATAR,20132014,30,406,1522.1
RYAN_SMYTH,20132014,167,407,933
IAN_COLE,20132014,43,412,1472
SCOTTIE_UPSHALL,20132014,119,413,1148
COREY_PERRY,20132014,103,414,1155
OLLI_JOKINEN,20132014,170,416,914
MIKE_KNUBLE,20122013,155,416,1003
VIKTOR_KOZLOV,20082009,114,419,1162
ADAM_MCQUAID,20132014,73,422,1339
PAUL_STASTNY,20132014,149,423,1062.1
PAVOL_DEMITRA,20092010,128,423,1102
DANY_HEATLEY,20132014,172,424,948.1
JASON_SPEZZA,20132014,155,424,1003.1
SEAN_AVERY,20112012,120,425,1194
SERGEI_KOSTITSYN,20122013,112,425,1187
MIKE_RICHARDS,20132014,169,427,968.200000000001
BRANDON_SUTTER,20132014,108,429,1189
JASON_BLAKE,20112012,156,430.5,1021
MIKHAIL_GRABOVSKI,20132014,117.9,432,1174
ALEX_PIETRANGELO,20132014,110,432.5,1205
LANDON_WILSON,20082009,35,433.5,1528
TOMAS_PLEKANEC,20132014,154,434,1088
JAMIE_BENN,20132014,115,434,1213.2
VALERI_BURE,20032004,61,437,1424
BRYAN_BICKELL,20132014,97,438,1304
ERIC_DESJARDINS,20052006,80,438.5,1345
RYAN_GARBUTT,20132014,39,438.5,1515
CHRISTIAN_BACKMAN,20082009,109,441,1228
ERIK_HAULA,20132014,20,443.5,1635
DOUG_WEIGHT,20102011,143,444,1126
TOM_PREISSING,20092010,103,444,1276
JOZEF_STUMPEL,20072008,106,450,1291
WAYNE_SIMMONDS,20132014,127,451,1221
DEREK_ROY,20132014,171,454,1050.1
CLARKE_MACARTHUR,20132014,135,458,1193
CARL_HAGELIN,20132014,85,460.5,1380
JOSH_BAILEY,20132014,122,462,1240.2
MATS_SUNDIN,20082009,139,463,1185.1
CURTIS_LESCHYSHYN,20032004,38,463.5,1535
ROMAN_CECHMANEK,20032004,75,464,1423.1
BRENDAN_GALLAGHER,20132014,64,465,1461
SCOTT_PARSE,20112012,39,468.5,1605.2
MATT_CARLE,20132014,180,470,1076
MATS_ZUCCARELLO,20132014,71,471,1442
NATHAN_BEAULIEU,20132014,19,472,1671
MARK_GIORDANO,20132014,151,474,1177
OLEG_KVASHA,20052006,81,477.5,1435.1
STEVE_SULLIVAN,20122013,175,481,1132.1
BEN_LOVEJOY,20132014,85,483,1417.1
NATHAN_MACKINNON,20132014,51.9000000000001,484,1559
PETER_BONDRA,20062007,97,486,1345
VILLE_KOISTINEN,20092010,55,486.5,1534
MICHAL_ROZSIVAL,20132014,182,488,1115
MIIKKA_KIPRUSOFF,20122013,199,489,1073.1
SHEA_WEBER,20132014,169,494,1162
LEE_STEMPNIAK,20132014,181,495,1137
ALES_HEMSKY,20132014,178,496,1153
CODY_FRANSON,20132014,132,496,1346.1
MICHEL_OUELLET,20082009,82,498,1459
RAFFI_TORRES,20132014,170,501,1194
JOHN_LECLAIR,20062007,86,502,1471
RILEY_SHEAHAN,20132014,28,504,1678.1
BRANDON_DUBINSKY,20132014,166,506,1249.1
FREDRIK_MODIN,20102011,135,506,1306
SLAVA_VOYNOV,20132014,101,507,1426.1
BLAKE_WHEELER,20132014,152,509,1261.1
MARTIN_ERAT,20132014,192,511,1145
MATT_DUCHENE,20132014,142.9,515,1285.1
JASON_POMINVILLE,20132014,196,520,1168
DRAKE_BEREHOWSKY,20032004,49,520,1609
CHRISTOPHER_TANEV,20132014,78,522,1505.1
JEFFREY_HAMILTON,20082009,73,524.5,1536.1
ALEX_KOVALEV,20122013,201,528,1184
R.J._UMBERGER,20132014,198,530,1183
DAVID_VYBORNY,20072008,142,530,1332
JARED_SPURGEON,20132014,108,534,1410
CHRISTIAN_EHRHOFF,20132014,212,536.5,1177.1
EVANDER_KANE,20132014,151,537,1368.1
ERIC_DAZE,20052006,72,540,1617
MATHIEU_SCHNEIDER,20092010,190,542,1241
VACLAV_PROSPAL,20122013,203,543,1217
SERGEI_ZUBOV,20082009,173.9,547,1319
ANDREW_SHAW,20132014,108,547,1531
OWEN_NOLAN,20092010,162,548,1332.1
