Player,active,TPq10,TPmed,TPq90,Pq10,Pmed,Pq90
PETER_FORSBERG,20102011,1,1,3,1,1,3
BRAD_MARCHAND,20132014,3,11,72,3,11,67
MARTIN_GELINAS,20072008,5,17,80.1000000000004,5,17,76
PATRICK_ROY,20022003,3,19,176,3,16,144
SIDNEY_CROSBY,20132014,7,19,54,9,24,67
MARIAN_HOSSA,20132014,9,22,55,9,21,51
JONATHAN_TOEWS,20132014,8,27,90,8,26,84
JOE_THORNTON,20132014,11,29,80,11,29,76
PAVEL_DATSYUK,20132014,13,38,111,14,39,109
MARIAN_GABORIK,20132014,14,39,106,15,43,117
TYLER_TOFFOLI,20132014,2,40,792.1,2,44,829
ALEXANDER_SEMIN,20132014,13,41,120,15,46,134
ERIC_FEHR,20132014,8,41,227,9,49,254.1
ALEX_OVECHKIN,20132014,17,58,180,23,69,203
DANIEL_ALFREDSSON,20132014,23,63.5,170,16,43,112
PATRIC_HORNQVIST,20132014,13,69,326,12,62,285.1
RYAN_GETZLAF,20132014,19,76,293,20,78,303
DANIEL_SEDIN,20132014,16,83.5,391.1,18,90,421
ZACH_PARISE,20132014,25,85,272,23,76,248.1
NATHAN_HORTON,20132014,29,93,273,29,86,247
RADIM_VRBATA,20132014,30,94,284.1,30,96,285
JOHAN_FRANZEN,20132014,31,100,302,33,101,300
TEEMU_SELANNE,20132014,34,102,290,32,92,254
MARTIN_HAVLAT,20122013,34,104,282,35,97,266
P.K._SUBBAN,20132014,22,106,444,29,136,555.1
HENRIK_SEDIN,20132014,22,107,484,24,116,500
LOGAN_COUTURE,20132014,21,111,490,21,106,473.1
MIKKO_KOIVU,20132014,33,113,357.1,40,129,387
DAVID_PERRON,20132014,27,114,438,25,103,380
ANDREI_MARKOV,20132014,38,116,326,59,161,411
CHRIS_KUNITZ,20132014,45.9000000000001,127,347,49,141,374
BENOIT_POULIOT,20132014,27,129,542,31,144,580
ALEXANDER_RADULOV,20112012,19,130,699.1,17,114,598
VINCENT_LECAVALIER,20132014,43,133,384,23,65,183
GABRIEL_LANDESKOG,20132014,17,137,787.200000000001,15,121,699
LUBOMIR_VISNOVSKY,20132014,50,139,367,58,157,409
LADISLAV_NAGY,20072008,29,140,582,28,140,562
PATRIK_ELIAS,20132014,45,143,413.1,40,118,342
PIERRE-MARC_BOUCHARD,20132014,40,143,457,48,157,481
JUSTIN_WILLIAMS,20132014,50,145,388,52,146,385
LOUI_ERIKSSON,20132014,46,148,453,49,154,463
ROBERT_LANG,20092010,45,149,443,50,161,469.1
TYLER_KENNEDY,20132014,34,151,571,41,175,618.1
KYLE_WELLWOOD,20122013,41,154,523,48,182.5,585.1
STEVE_THOMAS,20032004,13,156,951.1,13,160,939.1
EVGENI_MALKIN,20132014,53,156,439,72,199.5,515
DEREK_MACKENZIE,20132014,17,161,914,21,176.5,949
STEVE_DOWNIE,20132014,36,162,602,25,110,437
JAROMIR_JAGR,20132014,53,162,442,54.9000000000001,161,434
NICKLAS_LIDSTROM,20112012,60,164,427,65,173,421
HENRIK_ZETTERBERG,20132014,63,165,419,67,172,408
JASON_ARNOTT,20112012,57,166,436,52,147,385
NICKLAS_BACKSTROM,20132014,45,167,562.1,53,194,630
ALEX_TANGUAY,20132014,66,173,416,67,174,404
KEITH_YANDLE,20132014,50,177,548,57,190,548
ANZE_KOPITAR,20132014,50,179,545.1,61,206,614
CHRIS_PRONGER,20112012,72.9000000000001,180,438,67,172,410
DUSTIN_PENNER,20132014,57,181,505.1,63,186,499
CHRIS_SIMON,20072008,30,183,806,32,190,826.1
DAN_BOYLE,20132014,69.9000000000001,192,496.1,57,152.5,382.1
