Player,active,TPq10,TPmed,TPq90,Pq10,Pmed,Pq90
PETER_FORSBERG,20102011,1,1,3,1,1,2
BRAD_MARCHAND,20122013,2,10,66,3,10,64
MARTIN_GELINAS,20072008,4,15,69,4,14,64
PATRICK_ROY,20022003,3,18,170,3,16,144.1
SIDNEY_CROSBY,20122013,6,18,55,8,23,66
MARIAN_HOSSA,20122013,9,22,55,8,20,48
ERIC_FEHR,20122013,5,23,145,5,28,160
JONATHAN_TOEWS,20122013,8,26,90,8,26,84
PAVEL_DATSYUK,20122013,11,31,92,11,31,86
JOE_THORNTON,20122013,13,35,94,13,35,93.1000000000004
ALEXANDER_SEMIN,20122013,11,35,104,14,41,120
MARIAN_GABORIK,20122013,17,48,133.1,19,53,142
ALEX_OVECHKIN,20122013,15,49,151,20,61,180
NATHAN_HORTON,20122013,20,63,196,18,53,163
DAVID_PERRON,20122013,14,63,281,13,61,276
DANIEL_SEDIN,20122013,12,64,328,14,75,382
DANIEL_ALFREDSSON,20122013,24,69,192,17,44,119
RYAN_GETZLAF,20122013,18,72,274.1,20,73,278
MARTIN_HAVLAT,20122013,32,92,254,29,83,232
RADIM_VRBATA,20122013,29,92,287,28,95,287
BENOIT_POULIOT,20122013,18,92,425,21,106,453
ZACH_PARISE,20122013,27,95,312,25,82,271
TEEMU_SELANNE,20122013,31,95,273,30,88,248
VINCENT_LECAVALIER,20122013,32,100,298,19,54,153
NAZEM_KADRI,20122013,9,102,727,13,139,854.300000000001
JOHAN_FRANZEN,20122013,33,108,324,32,101,303
MIKKO_KOIVU,20122013,31,110,359,40,131,393
HENRIK_SEDIN,20122013,22,116,537.1,25,129,561
PATRIK_ELIAS,20122013,38,121,372,29,91,272
PATRIC_HORNQVIST,20122013,23,126,559,21,111,475
LADISLAV_NAGY,20072008,27,127,550.1,27,126,523
LUBOMIR_VISNOVSKY,20122013,46,129,338,52,141,369.1
ALEXANDER_RADULOV,20112012,18,130,659,17,115,613
PIERRE-MARC_BOUCHARD,20122013,37,130,410,44,144,452.1
JUSTIN_WILLIAMS,20122013,45.9000000000001,131,367,48,140,389
JAMES_REIMER,20122013,26,136,594,55,251,877
ANDREI_MARKOV,20122013,46,139,389,64,181,466.1
DEREK_MACKENZIE,20122013,15,141,840,16,158,892
GABRIEL_LANDESKOG,20122013,14,142,854,13,124,774
ROBERT_LANG,20092010,45,143,410.1,49,154,461
JASON_ARNOTT,20112012,50,145,392,45,129,342
P.K._SUBBAN,20122013,29,145,583,36,177,685
TYLER_KENNEDY,20122013,32,147,565.1,41,176,628
LOUI_ERIKSSON,20122013,43,148,453,49,157,463.1
CHRIS_KUNITZ,20122013,51,149,408,55,159,429.1
KYLE_WELLWOOD,20122013,40,151,503,51,182,582
DAN_BOYLE,20122013,55,152,386,46,126,335
JANNIK_HANSEN,20122013,35,161,639,44,196,730
NICKLAS_BACKSTROM,20122013,43.9000000000001,163,549,49.9000000000001,181,573.1
STEVE_THOMAS,20032004,15,165,962,12,147,937
EVGENI_MALKIN,20122013,55,165,453.1,76,205,526
NICKLAS_LIDSTROM,20112012,62.9000000000001,173,439,65,171,415
ALEX_BURROWS,20122013,51,173,514,58,188,550.1
ZDENO_CHARA,20122013,72,179,412,70,166,372
CHRIS_SIMON,20072008,28,179,796,31,191,830
KEITH_YANDLE,20122013,51,183.5,586.1,56,195,593
CHRIS_PRONGER,20112012,72,185,437,67,167.5,401
JAROMIR_JAGR,20122013,58,186,512,60,188,532
STEVE_DOWNIE,20122013,40,191,734,29,136,563
DAYMOND_LANGKOW,20112012,64,192,537,68,200,538
PATRICK_SHARP,20122013,67,195,497.1,67,185,476
ALEX_TANGUAY,20122013,76,197,486,79,199,475
ALEXEI_PONIKAROVSKY,20122013,65,197,541.1,89,252,668
LOGAN_COUTURE,20122013,41,203,811.1,39,205,798.1
RICK_NASH,20122013,79,207,515,98,245,577.1
ZIGMUND_PALFFY,20052006,24,209,981.1,31,242,1065
DOMINIK_HASEK,20072008,62,215.5,651,57,193,580.1
JIM_VANDERMEER,20122013,73,216,599,73,218,575
HENRIK_ZETTERBERG,20122013,82,217,520,81,202.5,484
ERIK_COLE,20122013,81,218,551.1,93,245,599
CARL_HAGELIN,20122013,24,223,1054.1,24,201,989.200000000001
MAREK_MALIK,20082009,58,223,714.1,59,209.5,682
MIKE_RICHARDS,20122013,82,226,577,80,217,546.1
BRENDAN_MORRISON,20112012,74,226,618.1,90,266,693.1
MIKE_MOTTAU,20112012,50,229,822,43,201,735
DALTON_PROUT,20122013,7,234,1334,9,263,1364.1
ANZE_KOPITAR,20122013,66,236,740,77,258,758.1
MILAN_HEJDUK,20122013,85,242,630,82,224,580
TEDDY_PURCELL,20122013,58,243,815,45,191,670.1
DAVID_BACKES,20122013,69,243,733,60,204,631
JAKUB_VORACEK,20122013,68,245,768,73,259,762
KIMMO_TIMONEN,20122013,98,247,563,84,199,453
BRYAN_BICKELL,20122013,41,249,1003,41,245,962.1
TRENT_HUNTER,20112012,71,250,766.1,90,307,878.1
JOE_PAVELSKI,20122013,76,251,718.1,72,238,684
SLAVA_VOYNOV,20122013,32,255,1064,37,276,1104.1
FRANS_NIELSEN,20122013,60,256,879,77,301,954.1
MILAN_LUCIC,20122013,63,263,836.1,71,282,890.1
MIKAEL_SAMUELSSON,20122013,90,265,693,93,264,671
MICHAEL_RYDER,20122013,99,265,652,110,292,707
BOBBY_RYAN,20122013,76,266,785.1,71,261.5,768
DAVID_KREJCI,20122013,70,271,845,72,273,844
PETER_SCHAEFER,20102011,67,273,857,53,206,673
CODY_FRANSON,20122013,56.9000000000001,275,980.1,65,313,1044.1
DUSTIN_PENNER,20122013,89,277,758,92,275,736
JOCHEN_HECHT,20122013,94,279.5,740,96,270,705.1
JEFF_CARTER,20122013,105,282,692,101,270,646
CAM_ATKINSON,20122013,22,282,1258,23,304.5,1301.1
DUSTIN_BROWN,20122013,83,284,816,100,319,879
HENRIK_LUNDQVIST,20122013,96,285,752,94,241,585.1
FREDRIK_MODIN,20102011,72,285,903.1,64,253,791
BRIAN_GIONTA,20122013,92,286,786,93,290,762
SHANE_DOAN,20122013,111,287,697,122,306,713
ANDREI_KOSTITSYN,20112012,80,287,877,89,321.5,915
RYAN_SMYTH,20122013,118,289,669,120,288,651
JAROME_IGINLA,20122013,113,293,699,132,330,742
ALEX_FROLOV,20102011,87,294,838.1,114,357,971.200000000001
JOZEF_STUMPEL,20072008,69,298,965,60,252,846.1
SERGEI_KOSTITSYN,20122013,79,299,919,85,311,926
JIRI_HUDLER,20122013,86,302,874.1,89,307,894
MATT_CULLEN,20122013,119,302,728,129,324,758.1
BEN_LOVEJOY,20122013,43,303,1147,50,343,1202.1
MATT_MOULSON,20122013,63,306,1030.1,79,351,1090
MIKHAIL_GRABOVSKI,20122013,72,306,946,116,414,1152
CEDRICK_DESJARDINS,20052006,48,307,1128,42,259,990.1
MARK_STREIT,20122013,107,307,793,137,381,927
KRIS_VERSTEEG,20122013,86.9000000000001,308,901,88,301,872
ALEX_STEEN,20122013,66,310,1055.2,61,294.5,1028
MARC_SAVARD,20102011,102,310.5,800,100,297,802.1
JOEL_WARD,20122013,77,314,962,83,331,981.1
TYLER_SEGUIN,20122013,55,318,1090,54,306,1091.1
YAN_STASTNY,20122013,111,325,851,128.9,369,911
MATT_STAJAN,20122013,86,326,937,52,193,614
