player,season,beta,prob,ppm,pm,fp,beta.po,prob.po,ppm.po,pm.po,fp.po,beta.avg,prob.avg,ppm.avg,pm.avg,fp.avg
DANIEL_SEDIN,20102011,0.42,0.6,615.14,876,0.65,0.67,0.66,328.64,339,0.67,0.46,0.61,897.07,1215,0.65
ERIC_STAAL,20082009,0.34,0.58,605.41,619,0.59,0.34,0.58,124.13,116,0.58,0.34,0.58,731.91,735,0.58
MIKHAIL_GRABOVSKI,20102011,0.39,0.6,597.05,465,0.57,0,0.5,0,0,0,0.39,0.6,598.55,465,0.57
JOE_THORNTON,20112012,0.35,0.59,596.37,742,0.61,0.35,0.59,36.99,85,0.7,0.35,0.59,632.81,827,0.61
ALEX_OVECHKIN,20092010,0.35,0.59,575.72,1047,0.66,0.35,0.59,67.19,161,0.71,0.35,0.59,639.18,1208,0.66
DANIEL_SEDIN,20072008,0.42,0.6,562.11,685,0.63,0,0.5,0,0,0,0.42,0.6,562.07,685,0.63
DANIEL_SEDIN,20082009,0.4,0.6,547.83,680,0.62,0.4,0.6,62.4,82,0.63,0.4,0.6,608.76,762,0.62
RYAN_KESLER,20102011,0.31,0.58,530.05,649,0.59,0.31,0.58,168.57,131,0.56,0.29,0.57,650.86,780,0.59
SIDNEY_CROSBY,20092010,0.3,0.57,517.86,815,0.62,0.32,0.58,98.48,260,0.71,0.29,0.57,599.74,1075,0.63
DANIEL_SEDIN,20112012,0.4,0.6,510.16,880,0.67,0.4,0.6,18.25,9,0.55,0.4,0.6,525.65,889,0.67
HENRIK_ZETTERBERG,20112012,0.33,0.58,497.04,596,0.6,0.33,0.58,32.5,52,0.63,0.33,0.58,529.34,648,0.6
CLAUDE_GIROUX,20102011,0.32,0.58,487.53,347,0.56,0.32,0.58,81.81,153,0.65,0.33,0.58,580.87,500,0.57
ZACH_PARISE,20082009,0.33,0.58,486.45,843,0.64,0.33,0.58,45.25,29,0.55,0.32,0.58,515.9,872,0.64
JOE_THORNTON,20102011,0.31,0.58,482.72,647,0.6,0.31,0.58,127.55,179,0.61,0.32,0.58,636.1,826,0.6
ALEX_STEEN,20102011,0.38,0.59,475.5,561,0.61,0,0.5,0,0,0,0.38,0.59,480.02,561,0.61
