player,season,beta,prob,ppm,pm,fp,beta.po,prob.po,ppm.po,pm.po,fp.po
ALEX_OVECHKIN,20052006,0.55,0.63,644.13,660,0.64,0,0.5,0,0,0
ERIC_STAAL,20082009,0.37,0.59,498.71,501,0.59,0.37,0.59,102.3,79,0.57
DANIEL_SEDIN,20072008,0.47,0.62,480.78,554,0.63,0,0.5,0,0,0
DANIEL_SEDIN,20102011,0.39,0.6,435.06,584,0.63,0.55,0.63,191.02,209,0.65
DANIEL_SEDIN,20082009,0.39,0.6,421.3,469,0.61,0.39,0.6,46.92,54,0.61
ZACH_PARISE,20082009,0.37,0.59,416.01,718,0.66,0.37,0.59,38.47,33,0.58
DANIEL_SEDIN,20062007,0.39,0.6,390.47,584,0.64,0.39,0.6,55.06,54,0.6
PATRIK_ELIAS,20102011,0.41,0.6,377.9,354,0.6,0,0.5,0,0,0
PAVEL_DATSYUK,20072008,0.3,0.57,364.61,866,0.68,0.3,0.57,101.58,243,0.68
MIKHAIL_GRABOVSKI,20102011,0.32,0.58,358.9,290,0.56,0,0.5,0,0,0
SIDNEY_CROSBY,20092010,0.27,0.57,355.82,653,0.62,0.27,0.57,60.21,169,0.69
HENRIK_ZETTERBERG,20072008,0.3,0.57,355.46,801,0.67,0.3,0.57,109.27,245,0.67
JOE_THORNTON,20112012,0.29,0.57,354.75,548,0.61,0.29,0.57,20.68,56,0.69
DANIEL_SEDIN,20092010,0.39,0.6,345.88,406,0.61,0.39,0.6,63.4,89,0.64
DANIEL_SEDIN,20052006,0.39,0.6,342.97,299,0.58,0,0.5,0,0,0
PAVEL_DATSYUK,20112012,0.37,0.59,336.36,471,0.63,0.37,0.59,25.89,32,0.61
HENRIK_ZETTERBERG,20112012,0.3,0.57,335.76,416,0.59,0.3,0.57,20.84,40,0.64
RYAN_KESLER,20102011,0.27,0.57,335.39,448,0.59,0.27,0.57,106.83,65,0.54
DEREK_ROY,20072008,0.31,0.58,335.3,320,0.57,0,0.5,0,0,0
SIDNEY_CROSBY,20082009,0.27,0.57,332.45,412,0.58,0.27,0.57,93.59,161,0.61
SIDNEY_CROSBY,20132014,0.39,0.6,330.22,392,0.62,0.39,0.6,66.67,100,0.65
ALEX_OVECHKIN,20092010,0.28,0.57,329.44,715,0.65,0.28,0.57,36.16,108,0.7
PATRIC_HORNQVIST,20102011,0.39,0.6,326.31,310,0.59,0.39,0.6,49.49,58,0.61
ALEX_STEEN,20102011,0.34,0.58,320.96,423,0.61,0,0.5,0,0,0
PATRIK_ELIAS,20082009,0.32,0.58,317.97,475,0.62,0.32,0.58,31.44,44,0.61
JUSTIN_WILLIAMS,20052006,0.27,0.57,317.78,177,0.54,0.27,0.57,97.57,0,0.5
LOGAN_COUTURE,20112012,0.3,0.57,316.07,449,0.61,0.3,0.57,21.99,20,0.57
ALEX_OVECHKIN,20082009,0.22,0.55,312.47,754,0.63,0.22,0.55,54.86,113,0.61
DANIEL_SEDIN,20112012,0.32,0.58,310.96,592,0.65,0.32,0.58,11.55,7,0.55
