player,season,beta,prob,ppm,pm,fp,beta.po,prob.po,ppm.po,pm.po,fp.po,beta.avg,prob.avg,ppm.avg,pm.avg,fp.avg
PETER_FORSBERG,20022003,0.74,0.68,55.52,85,0.77,0.74,0.68,4.6,5,0.69,0.73,0.67,59.16,90,0.76
SIDNEY_CROSBY,20092010,0.41,0.6,43.47,60,0.64,0.41,0.6,7.45,19,0.76,0.4,0.6,49.96,79,0.66
DOMINIK_HASEK,20052006,0.35,0.59,42.45,80,0.67,0,0.5,0,0,0,0.42,0.6,50.54,80,0.67
SIDNEY_CROSBY,20082009,0.41,0.6,42.26,48,0.61,0.41,0.6,10.87,26,0.74,0.4,0.6,52.13,74,0.64
SIDNEY_CROSBY,20052006,0.41,0.6,41.86,52,0.62,0,0.5,0,0,0,0.4,0.6,41.07,52,0.62
PETER_FORSBERG,20052006,0.74,0.68,40.67,61,0.77,0.74,0.68,4.95,4,0.64,0.73,0.67,44.89,65,0.75
PAVEL_DATSYUK,20072008,0.4,0.6,39.49,87,0.72,0.4,0.6,7.27,25,0.84,0.36,0.59,42.66,112,0.74
PAVEL_DATSYUK,20082009,0.4,0.6,39.49,69,0.67,0.4,0.6,4.13,11,0.76,0.36,0.59,39.79,80,0.68
SIDNEY_CROSBY,20062007,0.41,0.6,35.62,79,0.72,0.41,0.6,2.01,4,0.7,0.4,0.6,36.93,83,0.72
MARK_STREIT,20082009,0.35,0.59,35.08,24,0.56,0,0.5,0,0,0,0.33,0.58,32.71,24,0.56
MATT_MOULSON,20112012,0.41,0.6,34.92,37,0.61,0,0.5,0,0,0,0.41,0.6,34.78,37,0.61
LUBOMIR_VISNOVSKY,20102011,0.31,0.58,34.52,70,0.66,0.31,0.58,2.95,3,0.58,0.31,0.58,37.39,73,0.65
ALEX_OVECHKIN,20082009,0.28,0.57,34.46,80,0.66,0.28,0.57,4.94,19,0.77,0.29,0.57,40.18,99,0.68
JOE_THORNTON,20092010,0.39,0.6,33.91,52,0.65,0.39,0.6,8.09,-4,0.45,0.37,0.59,40.26,48,0.61
JOE_THORNTON,20102011,0.39,0.6,33.91,48,0.64,0.39,0.6,7.51,1,0.51,0.37,0.59,39.7,49,0.61
ONDREJ_PALAT,20132014,0.56,0.64,32.75,37,0.66,0.56,0.64,2.48,1,0.56,0.54,0.63,33.76,38,0.65
PAVEL_DATSYUK,20062007,0.4,0.6,32.61,70,0.71,0.4,0.6,6.09,13,0.71,0.36,0.59,35.31,83,0.71
JOE_THORNTON,20022003,0.39,0.6,32.17,47,0.64,0.39,0.6,0.96,-3,0.2,0.37,0.59,31.76,44,0.63
JOE_THORNTON,20072008,0.39,0.6,32.17,69,0.71,0.39,0.6,4.43,7,0.65,0.37,0.59,35.09,76,0.7
ANDREI_MARKOV,20072008,0.28,0.57,31.9,47,0.6,0.28,0.57,3.56,2,0.54,0.27,0.57,34.44,49,0.59
PETER_FORSBERG,20032004,0.74,0.68,31.47,39,0.72,0.74,0.68,4.95,10,0.86,0.73,0.67,35.84,49,0.74
