player,season,beta,prob,ppm,pm,fp,beta.po,prob.po,ppm.po,pm.po,fp.po
ALEX_OVECHKIN,20052006,0.56,0.5,466.73,479,0.64,0,0.5,0,0,0
DANIEL_SEDIN,20072008,0.5,0.5,362.82,407,0.64,0,0.5,0,0,0
DANIEL_SEDIN,20102011,0.42,0.64,335.82,396,0.62,0.55,0.64,146.36,141,0.63
ZACH_PARISE,20082009,0.39,0.6,330.56,534,0.65,0.39,0.6,29.72,21,0.57
DANIEL_SEDIN,20082009,0.42,0.6,326.4,324,0.6,0.42,0.6,37.68,36,0.6
ERIC_STAAL,20082009,0.34,0.58,325.14,353,0.59,0.32,0.58,67.32,52,0.56
MIKHAIL_GRABOVSKI,20102011,0.42,0.5,324.37,227,0.57,0,0.5,0,0,0
HENRIK_ZETTERBERG,20072008,0.36,0.59,310.83,612,0.67,0.36,0.59,90.17,172,0.67
PAVEL_DATSYUK,20072008,0.35,0.59,306.32,631,0.68,0.35,0.59,81.41,178,0.69
DANIEL_SEDIN,20062007,0.42,0.6,290.98,389,0.64,0.42,0.6,41.16,43,0.61
PATRICK_SHARP,20112012,0.38,0.59,282.15,330,0.61,0.38,0.59,22.64,49,0.7
JOEL_WARD,20102011,0.42,0.6,268.93,5,0.5,0.42,0.6,46.1,22,0.55
DANIEL_SEDIN,20092010,0.42,0.61,263.95,275,0.61,0.46,0.61,52.14,65,0.64
PATRIC_HORNQVIST,20092010,0.42,0.6,261.41,344,0.64,0.42,0.6,3.69,-4,0.39
MARTIN_ST. LOUIS,20092010,0.28,0.5,260.34,276,0.57,0,0.5,0,0,0
SIDNEY_CROSBY,20092010,0.28,0.57,255.42,488,0.63,0.28,0.57,45.03,109,0.67
PATRIC_HORNQVIST,20102011,0.42,0.6,255.33,240,0.6,0.42,0.6,35.12,44,0.63
PATRIK_ELIAS,20102011,0.37,0.5,253.99,236,0.58,0,0.5,0,0,0
DANIEL_SEDIN,20052006,0.42,0.5,252.28,202,0.58,0,0.5,0,0,0
PETER_FORSBERG,20022003,0.43,0.61,251.38,382,0.66,0.43,0.61,24.62,47,0.7
PAVEL_DATSYUK,20112012,0.38,0.59,250.99,345,0.63,0.38,0.59,18.91,14,0.57
JASON_BLAKE,20082009,0.32,0.5,248.3,168,0.55,0,0.5,0,0,0
MARIAN_HOSSA,20052006,0.3,0.5,247.93,362,0.61,0,0.5,0,0,0
SIDNEY_CROSBY,20082009,0.28,0.57,246.94,288,0.58,0.28,0.57,70.63,128,0.62
ZACH_PARISE,20092010,0.28,0.57,241.3,390,0.61,0.28,0.57,12.43,27,0.65
PATRIC_HORNQVIST,20112012,0.42,0.6,240.07,226,0.6,0.42,0.6,31.6,34,0.61
PATRIK_ELIAS,20082009,0.32,0.58,237.74,325,0.61,0.32,0.58,23.31,37,0.63
JOE_THORNTON,20112012,0.27,0.57,237.74,368,0.6,0.27,0.57,13.57,37,0.68
LOGAN_COUTURE,20102011,0.32,0.58,237.56,299,0.6,0.32,0.58,61.52,52,0.57
JOHN_TAVARES,20112012,0.27,0.5,236.7,314,0.59,0,0.5,0,0,0
DANIEL_ALFREDSSON,20082009,0.28,0.5,234.82,203,0.56,0,0.5,0,0,0
EVGENI_MALKIN,20072008,0.25,0.56,232.6,236,0.56,0.25,0.56,56.96,85,0.59
LOGAN_COUTURE,20112012,0.3,0.57,229.25,322,0.61,0.3,0.57,16.48,14,0.56
MARKUS_NASLUND,20032004,0.36,0.59,227.88,339,0.63,0.36,0.59,20.07,41,0.68
ALEX_BURROWS,20082009,0.37,0.59,226.82,-39,0.48,0.37,0.59,31.73,-3,0.49
JAROMIR_JAGR,20062007,0.27,0.57,226.76,509,0.65,0.27,0.57,25.95,34,0.59
