player,season,beta,ppm,pm,salary
PETER_FORSBERG,20022003,0.73,59.16,90,9.5
SIDNEY_CROSBY,20082009,0.4,52.13,74,9
DOMINIK_HASEK,20052006,0.42,50.54,80,1.52
SIDNEY_CROSBY,20092010,0.4,49.96,79,9
TIM_THOMAS,20102011,0.23,46.75,92,6
PETER_FORSBERG,20052006,0.73,44.89,65,5.75
PAVEL_DATSYUK,20072008,0.36,42.66,112,6.7
SIDNEY_CROSBY,20052006,0.4,41.07,52,0.85
JOE_THORNTON,20092010,0.37,40.26,48,7.2
ALEX_OVECHKIN,20082009,0.29,40.18,99,9
PAVEL_DATSYUK,20082009,0.36,39.79,80,6.7
JOE_THORNTON,20102011,0.37,39.7,49,7.2
CHRIS_PRONGER,20062007,0.41,38.5,80,6.25
LUBOMIR_VISNOVSKY,20102011,0.31,37.39,73,6
SIDNEY_CROSBY,20062007,0.4,36.93,83,0.85
PETER_FORSBERG,20032004,0.73,35.84,49,11
PAVEL_DATSYUK,20062007,0.36,35.31,83,3.9
JOE_THORNTON,20072008,0.37,35.09,76,6.67
MATT_MOULSON,20112012,0.41,34.78,37,2.5
ANDREI_MARKOV,20072008,0.27,34.44,49,5.75
SIDNEY_CROSBY,20072008,0.4,34.36,74,0.85
JONATHAN_TOEWS,20092010,0.3,33.77,59,0.85
ONDREJ_PALAT,20132014,0.54,33.76,38,0.562
CHRIS_PRONGER,20092010,0.25,33.72,47,6.25
ALEX_OVECHKIN,20072008,0.29,33.7,90,0.9842
PETER_FORSBERG,20062007,0.73,33.06,37,5.75
HENRIK_SEDIN,20102011,0.27,32.9,84,6.1
MARK_STREIT,20082009,0.33,32.71,24,4.1
JOE_THORNTON,20082009,0.37,32.13,56,7.2
JOE_THORNTON,20022003,0.37,31.76,44,2.175
ALEXANDER_SEMIN,20082009,0.34,31.4,74,4.2
HENRIK_SEDIN,20092010,0.27,31.27,74,6.1
SIDNEY_CROSBY,20132014,0.4,31.2,52,12
ROBERT_LANG,20032004,0.36,31.14,53,5
PAVEL_DATSYUK,20092010,0.36,30.65,47,6.7
CHRIS_PRONGER,20052006,0.22,30.64,48,6.25
MIIKKA_KIPRUSOFF,20082009,0.13,30.62,16,8.5
HENRIK_LUNDQVIST,20072008,0.16,30.56,24,4.25
RYAN_GETZLAF,20072008,0.34,30.55,68,0.6232
ALEX_OVECHKIN,20092010,0.29,30.39,107,9
JOE_THORNTON,20112012,0.37,30.1,49,8
ALEXANDER_SEMIN,20092010,0.34,30.03,78,5
NICKLAS_LIDSTROM,20082009,0.22,29.68,61,7.45
PAVEL_DATSYUK,20052006,0.36,29.57,79,3.9
JONATHAN_TOEWS,20102011,0.3,29.31,47,6.5
CHRIS_PRONGER,20082009,0.22,29.19,25,6.25
JOE_THORNTON,20032004,0.37,28.99,35,5.5
HENRIK_LUNDQVIST,20062007,0.16,28.77,43,0.817
HENRIK_LUNDQVIST,20112012,0.16,28.54,44,6.875
NICKLAS_LIDSTROM,20072008,0.22,28.4,79,7.6
ANDREI_MARKOV,20082009,0.27,28.33,21,5.75
RYAN_GETZLAF,20082009,0.25,28.32,69,4.5
JONATHAN_TOEWS,20082009,0.3,28.26,54,0.85
HENRIK_LUNDQVIST,20082009,0.16,28.22,-12,7.75
MARIAN_GABORIK,20112012,0.31,28.2,56,7.5
HENRIK_LUNDQVIST,20092010,0.16,28.15,27,6.875
MIIKKA_KIPRUSOFF,20072008,0.13,27.82,-3,3.6
ALEX_OVECHKIN,20062007,0.29,27.79,33,0.9842
MIKHAIL_GRABOVSKI,20102011,0.37,27.7,36,2.85
ALEX_OVECHKIN,20052006,0.29,27.65,52,0.9842
NICKLAS_LIDSTROM,20052006,0.22,27.54,51,7.6
HENRIK_LUNDQVIST,20102011,0.16,27.52,23,7.75
NICKLAS_LIDSTROM,20062007,0.22,27.22,72,7.6
DANIEL_ALFREDSSON,20062007,0.24,27.18,79,4.67651
MIIKKA_KIPRUSOFF,20062007,0.13,27.04,39,3.5
MARIAN_GABORIK,20072008,0.31,26.97,38,6.5
MARIAN_GABORIK,20092010,0.31,26.97,46,7.5
TEEMU_SELANNE,20052006,0.29,26.88,88,1
THOMAS_VANEK,20062007,0.3,26.48,85,0.9424
MARIAN_HOSSA,20072008,0.26,26.37,33,7
ALEX_OVECHKIN,20112012,0.29,26.35,31,9
DANIEL_ALFREDSSON,20052006,0.24,26.22,85,4.662894
LUBOMIR_VISNOVSKY,20072008,0.27,26.08,14,2.052
NICKLAS_LIDSTROM,20102011,0.22,26.04,39,6.2
PAVEL_DATSYUK,20102011,0.36,25.99,47,6.7
HENRIK_LUNDQVIST,20132014,0.16,25.81,9,5.125
SIDNEY_CROSBY,20122013,0.4,25.67,54,7.5
MARIAN_HOSSA,20062007,0.26,25.61,43,6
ALEXANDER_SEMIN,20062007,0.34,25.59,46,1.4
DANIEL_SEDIN,20102011,0.22,25.48,91,6.1
NICKLAS_LIDSTROM,20092010,0.22,25.4,53,7.45
JAROMIR_JAGR,20062007,0.26,25.38,88,8.36
JOE_THORNTON,20052006,0.37,25.3,35,6.66
ZACH_PARISE,20092010,0.3,25.21,63,3
ALEX_OVECHKIN,20102011,0.29,25.2,63,9
LUBOMIR_VISNOVSKY,20092010,0.31,24.98,35,7
LOGAN_COUTURE,20102011,0.34,24.89,32,0.7875
TEEMU_SELANNE,20062007,0.29,24.86,84,3.75
DAVID_BACKES,20102011,0.29,24.85,39,2.5
JAROMIR_JAGR,20052006,0.26,24.84,93,8.36
HENRIK_SEDIN,20082009,0.27,24.75,64,3.575
LOGAN_COUTURE,20112012,0.34,24.55,22,0.7875
MATT_MOULSON,20102011,0.32,24.41,19,0
ALEXANDER_SEMIN,20112012,0.34,24.4,27,6.7
MIIKKA_KIPRUSOFF,20102011,0.13,24.3,9,7
JONATHAN_TOEWS,20132014,0.3,23.95,35,6.5
ANDREI_MARKOV,20062007,0.27,23.94,36,2
DUSTIN_BROWN,20112012,0.26,23.82,61,3.5
NICKLAS_LIDSTROM,20022003,0.22,23.79,54,10.5
JOE_PAVELSKI,20102011,0.24,23.79,34,4
DANIEL_ALFREDSSON,20072008,0.24,23.7,28,4.69067
MARTIN_HAVLAT,20082009,0.25,23.7,62,6
MARIAN_HOSSA,20082009,0.26,23.7,74,7.45
PAVEL_DATSYUK,20112012,0.36,23.66,40,6.7
VINCENT_LECAVALIER,20062007,0.4,23.62,17,7.166667
MILAN_HEJDUK,20022003,0.27,23.61,89,2.7
BOBBY_RYAN,20102011,0.24,23.55,31,3.25
ANDREI_MARKOV,20052006,0.27,23.41,38,1.5
MARIAN_HOSSA,20052006,0.26,23.32,67,5
TEEMU_SELANNE,20102011,0.29,23.27,51,3.25
ANZE_KOPITAR,20112012,0.23,23.17,52,6.4
ANDREI_MARKOV,20132014,0.27,23.14,34,5.75
RYAN_GETZLAF,20102011,0.25,23.08,57,5.125
HENRIK_ZETTERBERG,20072008,0.19,22.83,85,2.7
MIIKKA_KIPRUSOFF,20052006,0.13,22.61,31,2.9
ZACH_PARISE,20082009,0.27,22.54,74,2.5
NICKLAS_LIDSTROM,20032004,0.22,22.29,50,10
HENRIK_SEDIN,20112012,0.27,22.16,65,6.1
PAVEL_DATSYUK,20122013,0.36,22.05,43,6.7
JONATHAN_TOEWS,20112012,0.3,22.02,22,6
ANZE_KOPITAR,20092010,0.23,21.92,51,6
SIDNEY_CROSBY,20102011,0.4,21.92,45,9
HENRIK_SEDIN,20072008,0.27,21.76,48,3.575
HENRIK_SEDIN,20062007,0.27,21.62,49,3.575
ANZE_KOPITAR,20072008,0.23,21.58,14,0.85
CHRIS_PRONGER,20032004,0.22,21.53,20,9.5
MIKKO_KOIVU,20082009,0.25,21.53,20,3.3
MARIAN_HOSSA,20112012,0.26,21.53,23,7.9
MIIKKA_KIPRUSOFF,20112012,0.13,21.5,8,6
JONATHAN_TOEWS,20072008,0.3,21.42,40,0.85
JOE_THORNTON,20132014,0.37,21.42,34,6
HENRIK_ZETTERBERG,20082009,0.19,21.4,54,2.9
DAVID_KREJCI,20082009,0.27,21.37,55,0.825
LOUI_ERIKSSON,20092010,0.22,21.35,7,1.7
ALEXANDER_SEMIN,20102011,0.34,21.33,47,6
MIIKKA_KIPRUSOFF,20092010,0.13,21.31,5,7
STEVEN_STAMKOS,20102011,0.19,21.28,63,0.875
TEEMU_SELANNE,20112012,0.29,21.24,33,4
DANIEL_ALFREDSSON,20082009,0.24,21.07,28,5.465397
ALEX_TANGUAY,20102011,0.24,21.06,20,1.7
STEVE_DOWNIE,20092010,0.36,20.98,38,0.6
JOE_PAVELSKI,20092010,0.24,20.91,28,1.725
MARIAN_GABORIK,20052006,0.31,20.84,42,2.679
MIKKO_KOIVU,20092010,0.25,20.78,16,3.3
JOE_PAVELSKI,20112012,0.24,20.67,26,4
LADISLAV_NAGY,20062007,0.33,20.57,30,3
ANZE_KOPITAR,20132014,0.23,20.56,39,7.5
DANIEL_SEDIN,20092010,0.22,20.51,70,6.1
ALEX_TANGUAY,20052006,0.24,20.47,51,3.23
ALEXANDER_SEMIN,20072008,0.32,20.34,27,1.2
RYAN_GETZLAF,20092010,0.25,20.34,31,5.125
RYAN_KESLER,20102011,0.17,20.23,65,5
HENRIK_SEDIN,20052006,0.27,20.12,40,1.25
JOHAN_FRANZEN,20082009,0.22,20.08,61,1.15
STEVEN_STAMKOS,20112012,0.19,20.07,38,8
ZACH_PARISE,20072008,0.26,20,42,2
STEVEN_STAMKOS,20092010,0.19,19.98,37,0.875
BRAD_MARCHAND,20102011,0.3,19.95,27,0.6
HENRIK_LUNDQVIST,20122013,0.16,19.8,24,6.875
MATT_MOULSON,20092010,0.32,19.79,24,0.575
JONATHAN_TOEWS,20122013,0.3,19.79,51,6
MARIAN_HOSSA,20032004,0.26,19.75,43,2.75
HENRIK_LUNDQVIST,20052006,0.16,19.65,28,0.817
TEEMU_SELANNE,20082009,0.29,19.65,42,3.25
MARIAN_HOSSA,20022003,0.26,19.62,48,2.05
FRANS_NIELSEN,20112012,0.28,19.62,6,0.55
PAVEL_DATSYUK,20032004,0.25,19.52,27,1.5
OLLI_JOKINEN,20062007,0.22,19.52,43,5
BRAD_MARCHAND,20112012,0.3,19.51,34,2
JOE_PAVELSKI,20082009,0.24,19.46,22,1.55
ANZE_KOPITAR,20082009,0.23,19.42,3,0.765
DANIEL_ALFREDSSON,20032004,0.24,19.39,68,5.05
DANIEL_ALFREDSSON,20092010,0.24,19.39,34,7
ALEX_TANGUAY,20072008,0.24,19.3,25,5.375
TRENT_HUNTER,20032004,0.42,19.21,41,0
JOE_THORNTON,20122013,0.37,19.2,48,7
MARIAN_GABORIK,20022003,0.31,19.16,31,1.075
RYAN_GETZLAF,20112012,0.25,19.09,15,5.75
BOBBY_RYAN,20092010,0.24,19.08,36,0.765
TYLER_TOFFOLI,20132014,0.52,18.91,31,0.765
OLLI_JOKINEN,20052006,0.22,18.89,51,2.5
RICK_NASH,20092010,0.2,18.89,9,7
DANIEL_SEDIN,20082009,0.22,18.86,75,3.575
HENRIK_ZETTERBERG,20092010,0.19,18.63,45,7.4
RYAN_GETZLAF,20062007,0.25,18.59,55,0.7144
ROBERT_LANG,20052006,0.26,18.45,53,3.8
ALEX_OVECHKIN,20122013,0.29,18.43,42,9
PATRIK_ELIAS,20112012,0.18,18.42,17,5
MARTIN_HAVLAT,20102011,0.25,18.39,9,5
HENRIK_ZETTERBERG,20102011,0.19,18.34,44,7.75
RICK_NASH,20082009,0.2,18.29,5,6.5
ZIGMUND_PALFFY,20052006,0.38,18.28,17,3.5
ALEXANDER_SEMIN,20122013,0.34,18.26,27,7
ALEX_TANGUAY,20062007,0.24,18.25,46,5
MARIAN_HOSSA,20092010,0.26,18.22,33,7.9
LOUI_ERIKSSON,20082009,0.22,18.21,12,1.5
CHRIS_PRONGER,20072008,0.22,18.2,8,6.25
BRIAN_RAFALSKI,20082009,0.16,18.15,72,6
ANZE_KOPITAR,20102011,0.24,18.12,36,6
LOUI_ERIKSSON,20112012,0.22,17.99,26,4.1
TOBIAS_ENSTROM,20082009,0.17,17.95,-9,0.75
ANDREI_MARKOV,20092010,0.27,17.95,27,5.75
MARIAN_HOSSA,20102011,0.26,17.84,22,7.9
MATS_SUNDIN,20072008,0.2,17.81,31,5.5
ALEX_BURROWS,20092010,0.19,17.79,29,2
PAVEL_DATSYUK,20132014,0.36,17.74,13,6.7
NICKLAS_LIDSTROM,20112012,0.22,17.68,41,6.2
BOBBY_RYAN,20082009,0.24,17.63,46,0.85
KIMMO_TIMONEN,20092010,0.15,17.57,15,7
FRANS_NIELSEN,20102011,0.28,17.55,7,0.55
JAROME_IGINLA,20072008,0.16,17.54,77,7
LUBOMIR_VISNOVSKY,20112012,0.31,17.53,27,5
DANIEL_ALFREDSSON,20112012,0.24,17.48,34,4.5
HENRIK_ZETTERBERG,20112012,0.19,17.48,27,7.75
JUSTIN_WILLIAMS,20052006,0.16,17.47,41,1.225
MARK_STREIT,20092010,0.17,17.44,25,4.1
ALEX_TANGUAY,20032004,0.24,17.43,63,1.5
ALEX_GOLIGOSKI,20102011,0.19,17.42,43,1.5
ZDENO_CHARA,20092010,0.18,17.41,25,7.5
ALEX_FROLOV,20082009,0.22,17.4,8,3.5
MARTIN_HAVLAT,20092010,0.25,17.4,9,4
JOE_THORNTON,20062007,0.37,17.36,36,6.67
RYAN_NUGENT-HOPKINS,20132014,0.26,17.36,18,0.925
MARTIN_GELINAS,20022003,0.34,17.35,10,1.5
VINCENT_LECAVALIER,20072008,0.15,17.32,16,7.166667
ANDREI_MARKOV,20022003,0.27,17.29,32,0.7
EVGENI_MALKIN,20082009,0.12,17.27,83,0.9842
DAVID_VYBORNY,20022003,0.36,17.26,22,0.65
LADISLAV_NAGY,20052006,0.33,17.25,44,1.976
ALEXEI_PONIKAROVSKY,20082009,0.22,17.24,14,2.24
LOGAN_COUTURE,20122013,0.34,17.22,31,2.75
BRENDAN_MORRISON,20022003,0.17,17.19,50,2.15
DANIEL_ALFREDSSON,20022003,0.24,17.12,75,4.55
LADISLAV_NAGY,20022003,0.33,17.09,39,0.75
TOBIAS_ENSTROM,20072008,0.17,17.04,8,0.75
ROBERT_LANG,20072008,0.26,17.03,28,4
MIKKO_KOIVU,20102011,0.25,16.95,19,3.7
DANIEL_SEDIN,20062007,0.22,16.87,55,3.575
RICK_NASH,20112012,0.2,16.87,-3,7.5
TIM_THOMAS,20112012,0.1,16.87,43,5
ALEX_TANGUAY,20022003,0.24,16.85,58,0.9
JAROMIR_JAGR,20072008,0.2,16.82,53,8.36
ROBERT_LANG,20062007,0.26,16.78,46,3.8
KIMMO_TIMONEN,20082009,0.15,16.77,30,8
ANDREI_MARKOV,20032004,0.27,16.76,2,1.3
ANDREI_MARKOV,20122013,0.27,16.76,10,5.75
KIMMO_TIMONEN,20102011,0.15,16.69,13,7
MARTIN_GELINAS,20052006,0.34,16.68,26,0.925
MARTIN_GELINAS,20062007,0.34,16.68,30,0.975
TIM_THOMAS,20062007,0.1,16.67,-31,1.2
HENRIK_ZETTERBERG,20062007,0.19,16.62,52,2.6
BRIAN_CAMPBELL,20102011,0.24,16.61,32,7.142857
GABRIEL_LANDESKOG,20132014,0.23,16.58,36,0.925
BRIAN_RAFALSKI,20092010,0.16,16.56,66,6
LOGAN_COUTURE,20132014,0.34,16.54,29,3
HENRIK_ZETTERBERG,20052006,0.19,16.53,67,2.4
BRIAN_RAFALSKI,20072008,0.16,16.48,85,6
TIM_THOMAS,20082009,0.1,16.47,65,1.1
MATT_MOULSON,20122013,0.32,16.43,15,3
DAYMOND_LANGKOW,20062007,0.17,16.41,54,2.442
SIDNEY_CROSBY,20112012,0.4,16.39,31,9
JASON_ARNOTT,20072008,0.2,16.38,49,4.5
LOUI_ERIKSSON,20102011,0.22,16.37,37,3.2
