who,last_active,TPq10,TPmed,TPq90
PETER_FORSBERG,20102011,1,1,3
SIDNEY_CROSBY,20132014,6,17,50
BRAD_MARCHAND,20132014,4,19,139
MARTIN_GELINAS,20072008,5,24,122
JOE_THORNTON,20132014,9,25,71
JONATHAN_TOEWS,20132014,8,29,101
PAVEL_DATSYUK,20132014,12,36,104
MARIAN_HOSSA,20132014,13,37,97
ALEXANDER_SEMIN,20132014,12,38,120
MARIAN_GABORIK,20132014,16,49,143
DANIEL_ALFREDSSON,20132014,18,50,140
ALEX_OVECHKIN,20132014,17,55,165
TYLER_TOFFOLI,20132014,2,60,955.200000000001
ERIC_FEHR,20132014,10,64,350
RYAN_GETZLAF,20132014,16,67,272
LOGAN_COUTURE,20132014,13,74,373
TEEMU_SELANNE,20132014,26,82,242
DANIEL_SEDIN,20132014,15,85,428
MARTIN_HAVLAT,20122013,28,87,257
PATRIC_HORNQVIST,20132014,15,87,415.1
DAVID_PERRON,20132014,19,88,360
NATHAN_HORTON,20132014,27,89,286
RADIM_VRBATA,20132014,28,95,298
PATRICK_ROY,20022003,6,101,939
GABRIEL_LANDESKOG,20132014,12,105,696
JOHAN_FRANZEN,20132014,31,106,335
ZACH_PARISE,20132014,30,108,364.1
LADISLAV_NAGY,20072008,19,108,512
ZIGMUND_PALFFY,20052006,9,108.5,775
STEVE_DOWNIE,20132014,23,110,460
HENRIK_SEDIN,20132014,20,110,513.1
LOUI_ERIKSSON,20132014,33,112,352.1
ROBERT_LANG,20092010,31,112,369
MIKKO_KOIVU,20132014,33,117,367
LUBOMIR_VISNOVSKY,20132014,42,128,373
ALEX_TANGUAY,20132014,47,129,336
JASON_ARNOTT,20112012,42,130,379
JAROMIR_JAGR,20132014,41,131,389
ANDREI_MARKOV,20132014,45,132.5,373
BENOIT_POULIOT,20132014,26,133,562
VINCENT_LECAVALIER,20132014,46,139,397
CHRIS_PRONGER,20112012,51,142,376
DEREK_MACKENZIE,20132014,13,142,870.1
PATRIK_ELIAS,20132014,44,145,432
ALEXANDER_RADULOV,20112012,19,152,796
JOE_PAVELSKI,20132014,45,155,491.1
JUSTIN_WILLIAMS,20132014,53,159,430
NICKLAS_LIDSTROM,20112012,58,162,425
TEDDY_PURCELL,20132014,38,162.5,605.1
PIERRE-MARC_BOUCHARD,20132014,45,165,524.1
KYLE_WELLWOOD,20122013,44,171,608
DOMINIK_HASEK,20072008,41,177,631
HENRIK_ZETTERBERG,20132014,70,186,463
CHRIS_KUNITZ,20132014,61,188.5,513
THOMAS_VANEK,20132014,61,190,504
ANZE_KOPITAR,20132014,54,190,600
TYLER_KENNEDY,20132014,44,190,694.1
ZDENO_CHARA,20132014,76,193,449
MAREK_MALIK,20082009,49,200,692
P.K._SUBBAN,20132014,40,200,754
RICK_NASH,20132014,76,207,502.1
MILAN_HEJDUK,20122013,71,211,557
ALEXEI_PONIKAROVSKY,20122013,70,215,616
DUSTIN_PENNER,20132014,66,218,635
T.J._OSHIE,20132014,47,220,787.1
ALEX_BURROWS,20132014,69,232,697.1
DAYMOND_LANGKOW,20112012,75,239,690
MATT_MOULSON,20132014,47,240,900
PETR_CAJANEK,20062007,43,242,936.200000000001
BOBBY_RYAN,20132014,67,243,759
JAKUB_VORACEK,20132014,66,246,771
ADAM_HENRIQUE,20132014,34,246,1096
STEVEN_STAMKOS,20132014,61,248,822
PETER_SCHAEFER,20102011,56,248,860
KIMMO_TIMONEN,20132014,99,249,590
JIRI_HUDLER,20132014,68,252,773
CAM_ATKINSON,20132014,21,255,1223.1
EVGENI_MALKIN,20132014,86,256,681
PATRICE_BERGERON,20132014,79,256,751
STEVE_THOMAS,20032004,23,256,1205.1
PATRICK_SHARP,20132014,93,260,680.1
NATHAN_GERBE,20132014,39,260,1048
TOBIAS_ENSTROM,20132014,81,268,765.1
JEFF_CARTER,20132014,100,276,696.1
SHANE_DOAN,20132014,107,278,682
BRENDAN_MORRISON,20112012,91,280,765
CHRIS_SIMON,20072008,42,282,1096
MIKE_RIBEIRO,20132014,104.9,284,725
MARC_SAVARD,20102011,86,290,820
ALEX_FROLOV,20102011,83,290,847.1
MARCO_STURM,20112012,77.9000000000001,291,899
ERIK_COLE,20132014,111,294,728.1
