,beta,prob,ppm,pm,fp,beta.po,prob.po,ppm.po,pm.po,fp.po,beta.avg,prob.avg,ppm.avg,pm.avg,fp.avg
overall,0.342,0.342,0.363,0.34,0.272,0.298,0.296,0.29,0.15,0.234,0.346,0.347,0.372,0.343,0.274
averaged,0.367,0.368,0.453,0.51,0.324,0.371,0.373,0.415,0.292,0.429,0.369,0.369,0.456,0.512,0.327
20022003,0.182,0.177,0.202,0.377,0.268,0.177,0.173,0.145,0.129,0.275,0.186,0.178,0.204,0.378,0.273
20032004,0.284,0.28,0.296,0.394,0.339,0.26,0.254,0.235,0.203,0.293,0.287,0.28,0.296,0.408,0.345
20052006,0.267,0.263,0.282,0.325,0.276,0.259,0.254,0.237,0.101,0.182,0.271,0.269,0.291,0.323,0.28
20062007,0.301,0.299,0.325,0.319,0.267,0.266,0.263,0.245,0.14,0.239,0.298,0.298,0.327,0.319,0.267
20072008,0.315,0.314,0.361,0.355,0.298,0.252,0.247,0.247,0.132,0.174,0.315,0.317,0.361,0.347,0.299
20082009,0.368,0.371,0.439,0.397,0.345,0.301,0.301,0.335,0.184,0.251,0.371,0.374,0.443,0.396,0.347
20092010,0.374,0.378,0.432,0.391,0.316,0.355,0.357,0.365,0.239,0.235,0.382,0.385,0.451,0.403,0.32
20102011,0.442,0.442,0.466,0.421,0.34,0.388,0.388,0.335,0.183,0.265,0.449,0.452,0.472,0.427,0.344
20112012,0.42,0.422,0.441,0.38,0.266,0.35,0.351,0.321,0.133,0.252,0.425,0.426,0.454,0.384,0.264
20122013,0.389,0.392,0.463,0.33,0.226,0.327,0.327,0.329,0.155,0.211,0.396,0.394,0.468,0.334,0.228
20132014,0.386,0.387,0.422,0.302,0.241,0.314,0.313,0.308,0.085,0.219,0.395,0.393,0.433,0.296,0.243
