,beta,ppm,pm
overall,0.326205669930362,0.375819067726948,0.332040340538572
20022003,0.175727005430064,0.20457034545817,0.364145933173603
20032004,0.214718237135559,0.259226005696861,0.360150635279005
20052006,0.259189340325475,0.292406556933571,0.321162450192839
20062007,0.293968024638739,0.336627372642844,0.318721829993246
20072008,0.28389927760241,0.371986150959361,0.339651108712017
20082009,0.351573607750271,0.450521162492628,0.389885416712417
20092010,0.356759813525697,0.453564981145187,0.388918090391944
20102011,0.40277848295455,0.477885462512459,0.379450226576358
20112012,0.430691808753574,0.473934919284287,0.375849174327511
20122013,0.387635158174429,0.465754356983357,0.328044746310731
20132014,0.393825731960636,0.428632281638053,0.285275259533226
